SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
1,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,12-08-2001 08:00,0.03947207
2,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,13-08-2001 08:00,0.13580523
3,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,14-08-2001 08:00,0.026788171
4,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,15-08-2001 08:00,0.015971767
5,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,16-08-2001 08:00,0.0025147288
6,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,17-08-2001 08:00,0.015971767
7,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,18-08-2001 08:00,0.13580523
8,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,19-08-2001 08:00,0.03947207
9,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,20-08-2001 08:00,0.3081179
10,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,21-08-2001 08:00,0.27493063
11,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,22-08-2001 08:00,0.6975247
12,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,23-08-2001 08:00,2.6176207
13,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,24-08-2001 08:00,4.823054
14,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,25-08-2001 08:00,5.1766214
15,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,26-08-2001 08:00,0.7571064
16,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,27-08-2001 08:00,0.34263006
17,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,28-08-2001 08:00,0.27493063
18,BENDI,Andhra Pradesh SW,28,Andhra Pradesh,519,SRIKAKULAM,PALASA,-,-,-,East flowing rivers between Mahanadi and Pennar,-,-,-,-,18.72500000,84.38777778,06-09-2001 08:00,0.7571064
