pic,name,operator,latitude_text,longitude_text,latitude,longitude,completion_year,river_basin,river,nearest_city,seismic_zone,dam_type,height_m,length_m,dam_volume_m3,gross_storage_mcm,reservoir_area_m2,effective_storage_mcm,purpose,spillway_capacity_cumecs,source_authority,source_document,source_url,evidence_class
AP01MH0078,Maddigedda Reservoir,Andhra Pradesh Water Resources Department,"17° 29 ' 12""","82° 0 ' 43""",17.486666666666668,82.01194444444444,2004,East Flowing Rivers between Mahanadi and Godavari,Janjhavathi,ellavaram,II,Other,27.0,862.0,526000.0,13.733,1821000.0,12.289,I,969.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0080,Earlakatta Tank,Andhra Pradesh Water Resources Department,"15° 45 ' 13""","78° 58 ' 42""",15.75361111111111,78.97833333333334,2007,East flowing rivers between Krishna and Pennar,krishna,Cumbum.,II,Earthfill_Embankment,17.0,571.0,0.0,1.369,,1.369,I,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0083,N.T.R. T.G.P-Subsidiary Reservoir no 1,Andhra Pradesh Water Resources Department,"14° 49 ' 30""","78° 45 ' 0""",14.825,78.75,,Pennar,Kunderu,Cuddapah,II,Earthfill_Embankment,28.0,1820.0,0.0,60.416,5180000.0,,I/S,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0089,Chinnagottigallu Tank,Andhra Pradesh Water Resources Department,"13° 38 ' 53""","79° 5 ' 33""",13.648055555555555,79.0925,,Pennar,Swarnamuki R,Tirupati,II,Earthfill_Embankment,18.0,900.0,,2.305,669300.0,1.098,I,168.51,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0092,"Gandicheruvu, Verabhadrapuram",Andhra Pradesh Water Resources Department,"16° 1 ' 45""","79° 10 ' 45""",16.029166666666665,79.17916666666667,,East flowing rivers between Krishna and Pennar,Ghataprabha,Marakapur,II,Other,26.69,240.0,0.0,3.0527,,,,255.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0094,Gullur tank,Andhra Pradesh Water Resources Department,"13° 28 ' 48""","79° 31 ' 30""",13.48,79.525,,East flowing rivers between Pennar and Cauvery Basin,Ghataprabha,Makavarapalem,II,Earthfill_Embankment,15.0,1040.0,,3.456,809720.0,3.084,I,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0095,Gundlamotu Reservoir,Andhra Pradesh Water Resources Department,"15° 21 ' 19""","79° 49 ' 7""",15.355277777777777,79.81861111111111,,East flowing rivers between Krishna and Pennar,Ghataprabha,Giddalur,II,Earthfill_Embankment,16.0,605.0,0.0,9.04,,,,652.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0100,Kushavathi Reservoir,Andhra Pradesh Water Resources Department,"13° 58 ' 40""","78° 31 ' 40""",13.977777777777778,78.52777777777777,,Pennar,Khushavathi,Rayachoti,II,Other,17.47,1030.0,0.0,2.9,77280000.0,2.5,I,739.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0109,Pedda Tippa Samudram Tank,Andhra Pradesh Water Resources Department,"13° 42 ' 6""","78° 12 ' 10""",13.701666666666666,78.20277777777778,,Pennar,Ghataprabha,Madanapalle,II,Earthfill_Embankment,15.39,1550.0,0.0,7.079,5406000.0,6.969,I,474.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0112,Perval Project,Andhra Pradesh Water Resources Department,"16° 38 ' 9""","79° 0 ' 51""",16.635833333333334,79.01416666666667,,Krishna,Ghataprabha,devarkonda,II,Earthfill_Embankment,15.0,,0.0,4.278,,3.174,I,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0114,"Rao Cheruvu, Rajupalem",Andhra Pradesh Water Resources Department,"15° 9 ' 35""","78° 56 ' 31""",15.159722222222223,78.94194444444445,,Pennar,Sagileru,Badvel,II,Earthfill_Embankment,16.0,460.0,0.0,5.65,1820000.0,5.65,I,113.83,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0121,"Tajangi Reservoir, Tajangi (v)",Andhra Pradesh Water Resources Department,"17° 52 ' 13""","82° 29 ' 45""",17.87027777777778,82.49583333333334,,Godavari,Ghataprabha,Chintapalli,II,Earthfill_Embankment,17.3,220.0,0.0,1.36,,1.36,I,12500.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0128,Chagallu Barrage,Andhra Pradesh Water Resources Department,"14° 55 ' 10""","77° 49 ' 45""",14.919444444444444,77.82916666666667,,Pennar,Pennar,tadpatra,II,Other,21.43,291.5,0.0,50.94,,,I,9712.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0129,Cheyyeru Project (Annamayya),Andhra Pradesh Water Resources Department,"14° 12 ' 49""","79° 1 ' 12""",14.21361111111111,79.02,2001,Pennar,cheyyeru,rajampet,II,Earthfill_Embankment,25.0,409.0,653000.0,63.16,7600000.0,44.89,I,8069.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0135,Mallemadugu,Andhra Pradesh Water Resources Department,"13° 40 ' 38""","79° 31 ' 27""",13.677222222222222,79.52416666666666,1959,East flowing rivers between Pennar and Cauvery Basin,Konakalva,Chandragiri,III,Earthfill_Embankment,15.0,1334.0,0.0,7.499,,,I,2458.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0138,"N.T.R. Reservoir, Thatiparthi(V), Madugula(M)",Andhra Pradesh Water Resources Department,"17° 56 ' 13""","82° 46 ' 3""",17.936944444444446,82.7675,,East Flowing Rivers between Mahanadi and Godavari,Tacheru,Chodavaram,II,Earthfill_Embankment,24.51,1317.0,0.0,5.77,,5.029,I,16386.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0140,Peddagedda Reservoir,Andhra Pradesh Water Resources Department,"18° 28 ' 5""","83° 6 ' 6""",18.468055555555555,83.10166666666666,2007,East Flowing Rivers between Mahanadi and Godavari,Peddagedda,Salur,II,Earthfill_Embankment,24.0,2430.0,0.0,30.38,,28.911,I,1395.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0144,Thotapally Barrage,Andhra Pradesh Water Resources Department,"18° 47 ' 5""","83° 29 ' 41""",18.784722222222225,83.49472222222222,1908,Godavari,Nagavali,thotapalli,II,Earthfill_Embankment,23.0,,0.0,71.05,,,,3234.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0145,"Urakagedda Reservoir, Sankaram (V), Madugula(M)",Andhra Pradesh Water Resources Department,"17° 56 ' 22""","82° 43 ' 33""",17.939444444444444,82.72583333333334,,East Flowing Rivers between Mahanadi and Godavari,Ghataprabha,paderu,II,Earthfill_Embankment,25.0,515.0,0.0,2.16,,2.16,I,15651.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0148,Varadharajuswami Gudi,Andhra Pradesh Water Resources Department,"15° 58 ' 30""","78° 38 ' 50""",15.975,78.64722222222223,,Krishna,Munimadugulavagu,Kurnool,II,Other,22.0,588.0,0.0,11.02,1324000.0,10.21,I,1025.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0150,Velugodu Balancing Reservoir,Andhra Pradesh Water Resources Department,"15° 48 ' 0""","78° 34 ' 30""",15.8,78.575,,Pennar,Pennar,Atmakur,II,Earthfill_Embankment,28.0,11640.0,0.0,16.95,46300000.0,16.905,I,1231.8,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0152,N.T.R. T.G.P-Subsidiary Reservoir no 2,Andhra Pradesh Water Resources Department,"14° 47 ' 25""","78° 47 ' 55""",14.790277777777778,78.79861111111111,,Pennar,Vakkileru N,Cuddapah,II,Earthfill_Embankment,18.0,,0.0,69.269,5535000.0,,I/S,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0154,Alaganur Balancing Reservoir,Andhra Pradesh Water Resources Department,"15° 42 ' 27""","78° 23 ' 14""",15.7075,78.38722222222223,2004,Pennar,Kanika Vagu,Nandikotkur,II,Earthfill_Embankment,22.0,7500.0,84000.0,0.01359,84000000000.0,,I,442.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0155,Shri Kotla Vijaya Bhaskara Reddy Barragesunkesula Barrage,Andhra Pradesh Water Resources Department,"15° 52 ' 49""","77° 51 ' 28""",15.880277777777778,77.85777777777777,2004,Krishna,Tungabhadra,Kurnool,II,Earthfill_Embankment,17.18,630.0,,0.033975,5537630000.0,0.027184,I,14866.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0156,Kandla Obul Reddy Gundlakamma Reservoir Project,Andhra Pradesh Water Resources Department,"15° 41 ' 16""","76° 43 ' 44""",15.687777777777779,76.72888888888889,2013,East flowing rivers between Krishna and Pennar,Gundlakama,Ongole,II,Earthfill_Embankment,23.34,327.0,80.0,3e-06,2.0,3e-06,I/S,3.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0161,Subbaraya Balancing Reservoir,Andhra Pradesh Water Resources Department,"14° 48 ' 54""","77° 53 ' 19""",14.815000000000001,77.88861111111112,1983,Pennar,Local Vagu,Ananthapur,II,Earthfill_Embankment,27.4,970.0,64.22,0.011893,1433000000.0,0.011893,I,60.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0162,Mutchukota Balancing Reservoir,Andhra Pradesh Water Resources Department,"14° 49 ' 37""","77° 52 ' 16""",14.826944444444445,77.8711111111111,1983,Pennar,Local Vagu,Ananthapur,II,Earthfill_Embankment,25.0,620.0,27.43,0.018915,2194000000.0,0.018915,I,82.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0163,Pendekallu Reservoir,Andhra Pradesh Water Resources Department,"14° 58 ' 4""","77° 52 ' 6""",14.967777777777778,77.86833333333333,,Pennar,Local Vagu,Anantapur,II,Earthfill_Embankment,15.0,4774.3,707.0,0.018406,6010000000.0,0.018406,,874.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0164,Gotta Barrage,Andhra Pradesh Water Resources Department,"18° 41 ' 21""","83° 57 ' 44""",18.689166666666665,83.96222222222222,1977,East Flowing Rivers between Mahanadi and Godavari,vamsadhara,Hiramandalam,II,Earthfill_Embankment,20.42,475.79,,0.017329,2770000000.0,,I,5947.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0166,Surempalem Reservoir Project,Andhra Pradesh Water Resources Department,"17° 30 ' 22""","81° 54 ' 17""",17.50611111111111,81.90472222222223,2006,Godavari,Burada kalva,Gokavaram,II,Earthfill_Embankment,27.6,800.0,313.6,7.050894,2249000000.0,7.050894,I,52.29,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0167,Gogarbham Dam,Andhra Pradesh Water Resources Department,"13° 14 ' 29""","73° 21 ' 13""",13.241388888888888,73.3536111111111,1963,To Be Confirmed,Local,Tirupati,II,Earthfill_Embankment,24.3,54.0,,0.0012878800000000001,253710000.0,0.00121969,S,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01MH0168,Akasaganga,Andhra Pradesh Water Resources Department,"13° 46 ' 6""","79° 20 ' 21""",13.768333333333334,79.33916666666666,2002,To Be Confirmed,Local,Tirupati,II,Earthfill_Embankment,28.0,170.0,35.0,0.0003114,34550000.0,0.00030458,S,52.29,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01VH0059,Srisailam Project (N.S.R.S.P),Andhra Pradesh Water Resources Department,"16° 5 ' 10""","78° 53 ' 48""",16.08611111111111,78.89666666666668,1982,Krishna,Krishna,Nandikotkur,II,Other,145.0,512.0,1953000.0,6116.438863,616420000.0,5833.2703979,H,38369.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
