pic,name,operator,latitude_text,longitude_text,latitude,longitude,completion_year,river_basin,river,nearest_city,seismic_zone,dam_type,height_m,length_m,dam_volume_m3,gross_storage_mcm,reservoir_area_m2,effective_storage_mcm,purpose,spillway_capacity_cumecs,source_authority,source_document,source_url,evidence_class
AP01HH0062,Somasila Reservoir,Andhra Pradesh Water Resources Department,"14° 29 ' 19""","79° 18 ' 13""",14.48861111111111,79.30361111111111,1986,Pennar,Pennar,Atmakur,II,Other,39.0,352.0,1875000.0,2208.37,212280000.0,1994.1,I/H,19680.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0064,Jalleru Reservoir,Andhra Pradesh Water Resources Department,"17° 17 ' 24""","81° 20 ' 45""",17.290000000000003,81.34583333333333,1992,Godavari,Jalleru,Polavaram,III,Other,31.42,1790.0,1069000.0,15.317,1641000.0,11.339,I,348.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0079,Kovvadda kalva,Andhra Pradesh Water Resources Department,"17° 11 ' 52""","81° 30 ' 27""",17.197777777777777,81.5075,2004,Godavari,Kouvodakalva,Polavaram,II,Earthfill_Embankment,22.04,1599.0,0.0,12.36,12346000.0,11.581,I,630.3,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0081,Veligallu,Andhra Pradesh Water Resources Department,"14° 1 ' 52""","78° 28 ' 35""",14.031111111111112,78.47638888888889,2008,Pennar,Papagni,Rayachoti,II,Other,45.0,810.0,0.0,13.147,10886000.0,0.10412,I,4361.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0127,Bahuda Reservoir,Andhra Pradesh Water Resources Department,"13° 33 ' 46""","78° 37 ' 41""",13.562777777777779,78.62805555555555,1974,Pennar,Bahuda,Madanapalle,II,Earthfill_Embankment,31.77,792.48,0.0,14.06,,11.27,I,849.5,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0130,Gorakallu Balancing Reservoir,Andhra Pradesh Water Resources Department,"15° 33 ' 55""","78° 24 ' 16""",15.565277777777778,78.40444444444445,,Pennar,Mallama selavagu,Nandyal,II,Other,48.5,1731.0,0.0,3e-06,2.0,3e-06,I,3.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0131,Hiramandalam Reservoir,Andhra Pradesh Water Resources Department,"° ' ""","° ' """,,,,Area of Inland Drainage in Rajasthan,Ghataprabha,Sambalpur,NA,Earthfill_Embankment,,,,,,,,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0132,Janjavati Reservoir,Andhra Pradesh Water Resources Department,"18° 51 ' 46""","83° 26 ' 4""",18.86277777777778,83.43444444444445,,East Flowing Rivers between Mahanadi and Godavari,Svarnamukhi Gomula,Parvathipuram,II,Earthfill_Embankment,34.0,4370.0,2919000.0,96.3,9710000.0,78.551,I,3398.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0133,Kandaleru Balancing Reservoir,Andhra Pradesh Water Resources Department,"14° 20 ' 0""","79° 37 ' 0""",14.333333333333334,79.61666666666666,1996,East flowing rivers between Pennar and Cauvery Basin,khandaleru,rapur,III,Earthfill_Embankment,49.0,10752.0,16720000.0,1926.0,142320000.0,1688.0,I/H,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0137,Musurmilli Reservoir,Andhra Pradesh Water Resources Department,"17° 22 ' 55""","81° 46 ' 12""",17.381944444444446,81.77,,Godavari,Seethapalli Vagu,rampa chodaram,II,Earthfill_Embankment,33.0,1040.0,0.0,45.31,,,,2944.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0141,Penna Ahobilam (Dr. K.S.P.A.B.R.),Andhra Pradesh Water Resources Department,"14° 47 ' 26""","77° 17 ' 57""",14.790555555555555,77.29916666666666,1994,Pennar,Pennar,Rayadurg,II,Other,46.0,2060.0,865000.0,314.0,27560000.0,305.0,I/H,4662.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0142,Pulichintala Project,Andhra Pradesh Water Resources Department,"16° 46 ' 15""","80° 3 ' 26""",16.770833333333332,80.05722222222222,,Krishna,Krishna,huzur nagar,III,Other,36.64,934.0,0.0,1295.291,,1026.0,I,57700.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0149,Yeleru Reservoir,Andhra Pradesh Water Resources Department,"17° 18 ' 0""","82° 5 ' 30""",17.3,82.09166666666667,,East Flowing Rivers between Mahanadi and Godavari,Yeleru,Kakinada,II,Other,43.0,2544.0,5080000.0,682.7,59360000.0,508.3,I/S,8070.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0151,N.T.R. T.G.P-SPVB Reservoir,Andhra Pradesh Water Resources Department,"14° 48 ' 0""","78° 53 ' 0""",14.8,78.88333333333334,,Pennar,Vakkileru N,Cuddapah,II,Earthfill_Embankment,50.5,6109.0,116540000.0,17.735,27340000.0,,I/S,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0153,Tenneti viswanadham Pedderu Reservoir,Andhra Pradesh Water Resources Department,"17° 53 ' 30""","82° 41 ' 0""",17.891666666666666,82.68333333333334,,Mahanadi,ghataprabha,Visakhapatnam,II,Other,36.0,900.0,0.0,13.4,,10.14,I,1630.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0157,Ps Velegonda Project Sunkesula Dam,Andhra Pradesh Water Resources Department,"15° 52 ' 51""","77° 49 ' 43""",15.880833333333333,77.8286111111111,2014,East flowing rivers between Krishna and Pennar,krishna,Marakapur,II,Earthfill_Embankment,58.8,400.0,276540.0,1.525,69525000000.0,1.231,I/S,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0158,Ps Velegonda Project Gotimukkala Dam,Andhra Pradesh Water Resources Department,"15° 57 ' 34""","79° 8 ' 13""",15.959444444444443,79.13694444444445,2009,East flowing rivers between Krishna and Pennar,krishna,Marakapur,II,Earthfill_Embankment,70.0,575.0,976800.0,1.525,69525000000.0,1.231,I/S,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0159,Ps Velegonda Project Kakarla Dam,Andhra Pradesh Water Resources Department,"15° 39 ' 30""","79° 10 ' 46""",15.658333333333333,79.17944444444444,2014,East flowing rivers between Krishna and Pennar,krishna,Marakapur,II,Earthfill_Embankment,60.0,470.0,210000.0,1.525,69525000000.0,1.231,I/S,52.29,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0160,Chitravathi Balancing Reservoir,Andhra Pradesh Water Resources Department,"14° 33 ' 35""","77° 57 ' 35""",14.559722222222224,77.95972222222223,2008,Pennar,chitravathi,Ananthapur,II,Earthfill_Embankment,36.5,846.0,189.97,0.289636,35807000000.0,0.28839,I,4080.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0165,Bhupathi Palam Reservoir,Andhra Pradesh Water Resources Department,"17° 26 ' 51""","81° 45 ' 56""",17.4475,81.76555555555555,2011,Godavari,Seethapalli Vagu,Rampachodavaram,II,Earthfill_Embankment,34.5,748.0,1126.0,18.264366,3588000000.0,11.468322,I,2314.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01HH0169,Kumaradhara Pushpadhara Dam,Andhra Pradesh Water Resources Department,"13° 43 ' 43""","79° 19 ' 30""",13.72861111111111,79.325,2011,To Be Confirmed,Odher,Tirupati,II,Earthfill_Embankment,63.74,906.3,250.0,0.000967,144630000.0,0.000967,S,12500.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0002,Dondapadu tank,Andhra Pradesh Water Resources Department,"16° 32 ' 36""","80° 27 ' 9""",16.543333333333337,80.4525,1910,East flowing rivers between Krishna and Pennar,krishna,Vinukonda,II,Earthfill_Embankment,10.3,720.0,0.0,7.263,2640000.0,6.537,I,210.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0005,Thippayapalem Tank,Andhra Pradesh Water Resources Department,"15° 41 ' 26""","79° 9 ' 59""",15.690555555555555,79.16638888888889,1938,East flowing rivers between Krishna and Pennar,Gundlakama,Marakapur,II,Other,10.0,,,5.125,,5.125,I,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0006,Markapur Tank,Andhra Pradesh Water Resources Department,"15° 43 ' 54""","79° 16 ' 40""",15.731666666666667,79.27777777777777,1945,East flowing rivers between Krishna and Pennar,Mondivagu,Ongole,II,Earthfill_Embankment,10.0,1569.0,0.0,6.173,,5.103,I,75.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0007,"Owk Reservoir complex (Palair, Gollaleru,Timmaraju)",Andhra Pradesh Water Resources Department,"15° 11 ' 3""","78° 5 ' 49""",15.184166666666666,78.09694444444445,1946,Pennar,Paleru,Banaganpalli,II,Earthfill_Embankment,10.15,622.0,,3.514286,808270000.0,2.46,I,128.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0008,Gambhiramgedda Reservoir,Andhra Pradesh Water Resources Department,"17° 52 ' 29""","83° 21 ' 6""",17.87472222222222,83.35166666666666,1957,East Flowing Rivers between Mahanadi and Godavari,Gambhiramgedda,Bheemunipatnam,II,Earthfill_Embankment,13.0,369.0,173000.0,3.18,799000.0,3.158,I,550.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0013,Rallapadu Project,Andhra Pradesh Water Resources Department,"15° 3 ' 14""","79° 43 ' 6""",15.05388888888889,79.71833333333333,1958,East flowing rivers between Krishna and Pennar,Manneru,Rallapadu,III,Earthfill_Embankment,13.85,2951.0,,31.318,7067000.0,30.83,I,3426.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0032,Vyasasamudram tank,Andhra Pradesh Water Resources Department,"13° 43 ' 30""","78° 8 ' 21""",13.725,78.13916666666667,1974,Pennar,Local Stream,Madanapalle,II,Earthfill_Embankment,11.29,840.0,,6.58,5400000.0,6.58,I,169.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0033,Gujjuvai Reservoir,Andhra Pradesh Water Resources Department,"18° 56 ' 20""","83° 44 ' 0""",18.93888888888889,83.73333333333333,1974,East Flowing Rivers between Mahanadi and Godavari,Peddagedda,Vizayanagaram,II,Earthfill_Embankment,15.0,800.0,0.0,0.73,,0.683,I,90.9,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0034,Bukkapatnam Tank,Andhra Pradesh Water Resources Department,"14° 11 ' 7""","77° 46 ' 28""",14.185277777777777,77.77444444444444,1975,Pennar,chitravathi,Penukonda,II,Earthfill_Embankment,14.0,6017.0,,19.914,10889000.0,15.31927,I,567.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0037,"Pedda cheruvu tank, Nagasamudram",Andhra Pradesh Water Resources Department,"14° 18 ' 28""","77° 39 ' 7""",14.307777777777778,77.65194444444445,1975,Pennar,Local Stream,Dharmavaram,II,Earthfill_Embankment,14.0,1295.68,,5.29,2810000.0,4.06597,I,2899.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0038,Rangasamudram Tank,Andhra Pradesh Water Resources Department,"13° 42 ' 12""","78° 16 ' 25""",13.703333333333333,78.27361111111111,1975,Krishna,Local Nala,Visakhapatnam,II,Earthfill_Embankment,14.0,1590.0,,3.689,2702000.0,3.689,I,232.74,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0041,Kaleti Vagu Reservoir,Andhra Pradesh Water Resources Department,"14° 44 ' 6""","78° 27 ' 26""",14.735,78.45722222222223,1977,Pennar,Local Stream,Vempalli,II,Earthfill_Embankment,11.2,1850.0,,6.4,1900000.0,6.4,I,683.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0045,Pittakayagulla,Andhra Pradesh Water Resources Department,"15° 28 ' 41""","79° 7 ' 27""",15.478055555555555,79.12416666666665,1978,East flowing rivers between Krishna and Pennar,Vemuluri Stream,Giddalur,II,Earthfill_Embankment,12.5,,,3.306,,3.003,I,429.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0048,Sadasivakona,Andhra Pradesh Water Resources Department,"13° 35 ' 35""","79° 37 ' 3""",13.593055555555557,79.61749999999999,1979,East flowing rivers between Pennar and Cauvery Basin,Sadasivakona,Srikalahasti,III,Earthfill_Embankment,14.03,619.0,137000.0,4.2475,,,I,180.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0050,Saddikutimadugu Reservoir,Andhra Pradesh Water Resources Department,"13° 26 ' 25""","79° 50 ' 39""",13.440277777777778,79.84416666666667,1980,East flowing rivers between Pennar and Cauvery Basin,Manneru,Thirupathi,II,Earthfill_Embankment,10.94,800.0,,1.634,809720.0,1.634,I,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0051,Jalakanur Tank,Andhra Pradesh Water Resources Department,"15° 43 ' 18""","78° 18 ' 15""",15.721666666666668,78.30416666666666,1981,Pennar,Bodivagu,Nandikotkur,II,Earthfill_Embankment,10.51,7200.0,,4.684286,90650000.0,3.279,I,362.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0054,Itugulapadu Tank,Andhra Pradesh Water Resources Department,"14° 43 ' 53""","78° 46 ' 53""",14.731388888888889,78.78138888888888,1982,Pennar,Maderu,Badvel,II,Earthfill_Embankment,10.5,520.0,0.0,1.979,864000.0,1.96,I,668.27,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0055,Thadukuvagu Reservoir,Andhra Pradesh Water Resources Department,"15° 10 ' 58""","78° 52 ' 58""",15.182777777777778,78.88277777777778,1982,Pennar,Local Stream,Badvel,II,Earthfill_Embankment,12.2,900.0,,1.7,1510000.0,1.7,I,680.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0061,Savisettipalli Tank,Andhra Pradesh Water Resources Department,"14° 59 ' 0""","78° 51 ' 55""",14.983333333333333,78.86527777777778,1985,Pennar,Local Stream,Badvel,II,Earthfill_Embankment,12.0,200.0,,2.36,760000.0,2.36,I,130.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0067,Pendlur Tank,Andhra Pradesh Water Resources Department,"14° 25 ' 30""","78° 21 ' 30""",14.424999999999999,78.35833333333333,1998,Pennar,Local Stream,Pulivendula,II,Earthfill_Embankment,10.6,1045.0,,1.59,840000.0,1.59,I,293.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0068,Vagetikona Reservoir,Andhra Pradesh Power Generation Corporation,"13° 52 ' 10""","79° 20 ' 2""",13.869444444444445,79.33388888888888,1998,Pennar,Local Stream,Kodur,II,Earthfill_Embankment,11.3,1306.0,,2.03,640000.0,2.03,I,285.02,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0070,Pedaballi Reservoir,Andhra Pradesh Water Resources Department,"13° 58 ' 10""","78° 23 ' 5""",13.969444444444445,78.38472222222222,2000,Pennar,Local Stream,Kadiri,II,Other,12.0,149.0,,4.932,2097000.0,3.794,I,2.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0071,Sancherla Tank,Andhra Pradesh Water Resources Department,"15° 8 ' 53""","79° 1 ' 26""",15.148055555555555,79.02388888888889,2000,Pennar,Local Stream,Badvel,II,Earthfill_Embankment,12.0,500.0,,1.8,465000.0,1.8,I,340.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0077,Dharakalava Reservoir,Andhra Pradesh Water Resources Department,"17° 20 ' 21""","82° 14 ' 12""",17.339166666666664,82.23666666666666,2004,East Flowing Rivers between Mahanadi and Godavari,Hill Stream,Kakinada,II,Earthfill_Embankment,20.12,250.0,9000000.0,3e-06,2.0,3e-06,I,3.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0082,Swarnamukhi Barrage,Andhra Pradesh Water Resources Department,"14° 0 ' 25""","80° 4 ' 11""",14.006944444444445,80.06972222222223,2008,Godavari,Swarnamukhi,Nellore,II,Other,10.6,389.5,0.0,0.99178,,,I,6450.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0084,Akkapalem Tank,Andhra Pradesh Water Resources Department,"17° 8 ' 3""","80° 35 ' 14""",17.134166666666665,80.58722222222222,,Krishna,Ghataprabha,tiruvuru,III,Earthfill_Embankment,11.1,433.0,0.0,1.853,,1.853,I,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0085,Ananthasagarm Tank,Andhra Pradesh Water Resources Department,"14° 33 ' 36""","79° 22 ' 34""",14.56,79.3761111111111,,Pennar,Pennar,Atmakur,II,Earthfill_Embankment,14.0,3500.0,0.0,2.112,,2.112,I,339.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0086,Chennapatnam Cheruvu,Andhra Pradesh Water Resources Department,"13° 27 ' 6""","78° 49 ' 18""",13.451666666666666,78.82166666666666,,Pennar,Pennar,Somala,II,Earthfill_Embankment,10.0,950.0,0.0,1.67634,1156900.0,1.676,I,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0087,"Chikkavadiyar, Anantapur",Andhra Pradesh Water Resources Department,"14° 40 ' 15""","77° 40 ' 13""",14.670833333333333,77.67027777777778,,Pennar,ghatprabha,Bukkarayasamudram,II,Other,10.54,4476.0,0.0,15.52424,2261730.0,11.942,I,501.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0090,Chinna Tippa Samudram Tank,Andhra Pradesh Water Resources Department,"13° 38 ' 0""","78° 36 ' 0""",13.633333333333333,78.6,,Pennar,Thettuvanka,Chittor,II,Earthfill_Embankment,12.2,790.0,0.0,5.947,2251000.0,,I,354.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0091,Chintakuntavagu,Andhra Pradesh Water Resources Department,"14° 41 ' 47""","78° 19 ' 13""",14.696388888888889,78.32027777777778,,Pennar,Local Stream,Jammalamadugu,II,Earthfill_Embankment,13.0,285.0,0.0,1.982,60000000.0,,I,66.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0093,"Gowricheru, Mogili",Andhra Pradesh Water Resources Department,"13° 13 ' 48""","78° 49 ' 10""",13.23,78.81944444444444,,East flowing rivers between Pennar and Cauvery Basin,Ghataprabha,Chittoor,II,Earthfill_Embankment,10.0,650.0,47990.0,0.872,,0.73039,I,136.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0096,Haresamudram Big tank,Andhra Pradesh Water Resources Department,"13° 54 ' 40""","77° 19 ' 50""",13.911111111111111,77.33055555555555,,Pennar,ghatprabha,Madakasira,II,Earthfill_Embankment,10.0,1264.0,0.0,3.12,236000.0,2.925,I,206.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0097,Jajigedda Reservoir,Andhra Pradesh Water Resources Department,"17° 40 ' 8""","82° 45 ' 7""",17.66888888888889,82.75194444444445,1998,East Flowing Rivers between Mahanadi and Godavari,Jajigedda,Narsipatnam,II,Earthfill_Embankment,14.81,688.0,0.0,2.293,310000.0,2.2656,I,6230.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0098,Kampasamudram New Tank,Andhra Pradesh Water Resources Department,"14° 47 ' 23""","79° 14 ' 54""",14.789722222222222,79.24833333333333,,Pennar,Pennar,udayagin,II,Earthfill_Embankment,11.2,1830.0,0.0,216.3,,2.163,I,208.82,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0099,Koduru Reservoir,Andhra Pradesh Water Resources Department,"13° 51 ' 53""","77° 43 ' 34""",13.864722222222222,77.72611111111111,,Pennar,Khushavathi,Guntakal,II,Earthfill_Embankment,10.0,796.0,0.0,1.901,1170000.0,1.464,I,21.24,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0101,M.V. Reservoir,Andhra Pradesh Water Resources Department,"15° 58 ' 8""","79° 11 ' 15""",15.96888888888889,79.1875,,East flowing rivers between Krishna and Pennar,pennar,S.R.Pur,II,Earthfill_Embankment,13.4,721.0,0.0,1.04,,1.04,I,679.6,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0102,Madakasira,Andhra Pradesh Water Resources Department,"13° 55 ' 39""","77° 14 ' 47""",13.9275,77.24638888888889,,Pennar,Ghataprabha,Madakasira,II,Earthfill_Embankment,12.0,686.0,0.0,3.972,933000.0,3.056,I,83.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0103,Muthyalacheruvu,Andhra Pradesh Water Resources Department,"14° 5 ' 58""","78° 4 ' 59""",14.099444444444446,78.08305555555555,,Pennar,ghatprabha,Dharmavaram,II,Earthfill_Embankment,11.0,838.0,0.0,2.847,1172000.0,2.19,I,297.44,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0104,Panthulu cheruvu,Andhra Pradesh Water Resources Department,"14° 2 ' 23""","78° 8 ' 46""",14.039722222222222,78.14611111111111,,Pennar,Madduleru,Kadiri,II,Earthfill_Embankment,12.0,923.0,0.0,3e-06,2.0,3e-06,I,3.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0105,"Pattikondavanka, Guttava",Andhra Pradesh Water Resources Department,"13° 28 ' 36""","79° 50 ' 23""",13.476666666666667,79.83972222222222,,East flowing rivers between Pennar and Cauvery Basin,Ghataprabha,Chittoor,II,Earthfill_Embankment,12.48,580.0,0.0,0.547,,0.346,I,59.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0106,Paya Cheruvu,Andhra Pradesh Water Resources Department,"13° 26 ' 30""","78° 26 ' 59""",13.441666666666666,78.44972222222222,,Pennar,Ghataprabha,punganuru,II,Earthfill_Embankment,14.0,200.0,,1.55741,221500.0,1.557,I,,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
AP01LH0107,"Peddabadava, Tulasikrishan",Andhra Pradesh Water Resources Department,"13° 28 ' 8""","79° 44 ' 35""",13.46888888888889,79.74305555555556,,East flowing rivers between Pennar and Cauvery Basin,Peddabadava,Srikalahasti,III,Earthfill_Embankment,10.74,571.0,118000.0,0.516,176840.0,0.452,I,31.0,Government of India / Central Water Commission,National Register of Large Dams 2019,https://www.cwc.gov.in/sites/default/files/nrld-2019.pdf,GOVERNMENT_FACT
