asset_id,asset_code,asset_name,asset_type,document_id,source_id,evidence_id,completion_year,commencement_year,dam_height_m,dam_length_m,dam_volume_source_value,gate_count,gate_size_raw,gate_type,design_flood_source_value,spillway_capacity_source_value,spillway_level_m,spillway_length_m,spillway_type,river_name,dam_type,seismic_zone,registry_status,nrld_no,structure_code,nearest_city,operating_agency,authority_level,origin,quality_flag,confidence_score,is_official,is_derived,has_direct_hydrology,age_years,engineering_fields_available,engineering_completeness
1,AP_DAM_00001,Prakasam Barrage,barrage,2,103,167,,,,,,,,,,,,,,Krishna,,,,,B00143,,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,1,0.1
3,AP_DAM_00002,Polavaram Project,dam,1,103,118,,,,,,,,,,,,,,Godavari,,Seismic Zone-III,Under Construction,,D06328,,"WRD, Govt of AP",B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,2,0.2
7,AP_DAM_NWDP_AP01MH0011,Upper Pennar,dam,1,103,48,1959.0,,16.74,3505.0,594.0,8.0,12.19 x 4.88,LG,3398.0,3398.0,526.39,,OG,Pennar,TE,Seismic Zone-II,Completed,AP01MH0011,D02365,Dharmavaram,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,True,67.0,10,1.0
8,AP_DAM_NWDP_AP01HH0040,Kalyani Dam,dam,1,103,76,1977.0,,36.0,500.0,,3.0,12.192 x 7.62,RD,1342.0,1614.0,266.70080437,,,Kalyani,TE + PG,Seismic Zone-III,Completed,AP01HH0040,D03636,Chandragiri,TTD,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,True,49.0,10,1.0
9,AP_DAM_NWDP_AP01HH0049,Pedderu,dam,1,103,27,1980.0,,35.0,590.0,122.0,42.0,,UG,3172.0,3172.0,481.5,,,Pedderu,TE,Seismic Zone-II,Completed,AP01HH0049,D02213,Madanapalle,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,True,46.0,10,1.0
11,AP_DAM_NWDP_AP01MH0135,Mallemadugu,dam,1,103,21,1959.0,,15.0,1334.0,,15.0,,,2458.0,2458.0,108.81,,,Konakalva and Rallakalva,TE,Seismic Zone-III,Completed,AP01MH0135,D02157,Chandragiri,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,True,67.0,10,1.0
22,AP_DAM_WRIS_D00569,Chitravathi Dam,dam,1,103,1,,,,,,,,,28.32,,289.35,,,Chitravathi,TE,Seismic Zone-II,,,D00569,Pulivendla,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,5,0.5
23,AP_DAM_WRIS_D00587,Gundlakamma Dam,dam,1,103,2,,,,,,,,,,,16.38,,,Gundlakamma,,Seismic Zone-III,,,D00587,Addanki,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,3,0.3
24,AP_DAM_WRIS_AP01MH0058,Mylavaram Dam,dam,1,103,3,1983.0,,24.0,2850.0,1524.0,13.0,13.00 x12.20 x8.65,RD,8180.0,8190.0,194.0,,,Pennar,TE + PG,Seismic Zone-II,Completed,AP01MH0058,D00686,Jammalamadugu,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,43.0,10,1.0
25,AP_DAM_WRIS_D00719,Kanigiri Dam,dam,1,103,4,,,10.278,10000.0,,,,,,,,,,Pennar,TE,Seismic Zone-III,Completed,,D00719,Kovvur,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,5,0.5
26,AP_DAM_WRIS_D00721,Nellore Dam,dam,1,103,5,,,,621.71,,,,,,,,,,Pennar,,Seismic Zone-III,Completed,,D00721,Nellore,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,3,0.3
27,AP_DAM_WRIS_AP01HH0062,Somasila Dam,dam,1,103,6,1986.0,,39.0,352.0,1875.0,12.0,15.24x14.168,RD,22375.0,22375.0,86.868,236.21,OG,Pennar,TE,Seismic Zone-II,Completed,AP01HH0062,D00750,Atmakur,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,40.0,10,1.0
28,AP_DAM_WRIS_AP01HH0130,Gorakallu Dam,dam,1,103,7,,,48.5,1731.0,,7.0,9 x 3.6,,,848.0,257.4,,,Mallama selavagu,TE + PG,Seismic Zone-II,Under Construction,AP01HH0130,D00934,Nandyal,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,8,0.8
29,AP_DAM_WRIS_D00963,"Paleru ,Owk Dam",dam,1,103,8,1946.0,,10.15,622.0,,5.0,12.2 x 5.2,,,,222.15,,,Paleru,TE,Seismic Zone-II,Completed,,D00963,Banganapalle,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,80.0,8,0.8
30,AP_DAM_WRIS_D01824,Veligonda Dam,dam,1,103,9,,,,,,,,,,,,,,Krishna,TE,Seismic Zone-II,,,D01824,Markapur,,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,,3,0.3
31,AP_DAM_WRIS_AP01HH0149,Yeleru Dam,dam,1,103,10,1991.0,,43.0,2544.0,5080.0,10.0,12x10,OT,8070.0,8070.0,76.56,150.0,OG,Eleru,TE + PG,Seismic Zone-II,Completed,AP01HH0149,D01830,Ellavaram,Irrg.& CAD Dept.,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,False,False,False,35.0,10,1.0
