dataset,source_name,normalized_name,source_code,parameter,latitude,longitude,row_count
ap_reservoir_storage_2026_2030.csv,YOGIVEMANA RESERVOIR PROJECT,yogivemana,78.05111111,,28.0,14.35777778,151
ap_river_discharge_2001_2025.csv,BENDI,bendi,84.38777778,,28.0,18.725,491
ap_river_discharge_2001_2025.csv,Bifercation of E&W Tammileru,bifercation of e and w tammileru,81.09277778,,28.0,16.7275,236
ap_river_discharge_2001_2025.csv,BM drain   Pallikona,bm drain pallikona,80.79777778,,28.0,16.05611111,2177
ap_river_discharge_2001_2025.csv,Chandraiah drain  Gudivada,chandraiah drain gudivada,80.99972222,,28.0,16.45194444,3086
ap_river_discharge_2001_2025.csv,ChinamusiMarrichetlapalem,chinamusimarrichetlapalem,79.77305556,,28.0,15.57972222,1356
ap_river_discharge_2001_2025.csv,Chinamusi  Tumadu,chinamusi tumadu,79.96805556,,28.0,15.36638889,1507
ap_river_discharge_2001_2025.csv,Errakalva    Ananthapalli,errakalva ananthapalli,81.45916667,,28.0,16.98055556,1655
ap_river_discharge_2001_2025.csv,ETB drain  Machavaram,etb drain machavaram,80.53972222,,28.0,16.00888889,785
ap_river_discharge_2001_2025.csv,Inampudi drain  Yendakuduru,inampudi drain yendakuduru,81.03277778,,28.0,16.15305556,1009
ap_river_discharge_2001_2025.csv,ITCHAPURAM,itchapuram,84.67861111,,28.0,19.09833333,2234
ap_river_discharge_2001_2025.csv,KALVAPALLY,kalvapally,77.2825,,28.0,14.64,14769
ap_river_discharge_2001_2025.csv,KAMARAJUPETA,kamarajupeta,81.91527778,,28.0,17.30722222,2
ap_river_discharge_2001_2025.csv,KAMAVARAM,kamavaram,83.60722222,,28.0,18.14444444,281
ap_river_discharge_2001_2025.csv,KASIPATNAM,kasipatnam,83.11707778,,28.0,18.2177,3811
ap_river_discharge_2001_2025.csv,KATRAGADDA,katragadda,83.81194444,,28.0,18.99361111,5682
ap_river_discharge_2001_2025.csv,Kattaleru   Tiruvuru,kattaleru tiruvuru,80.61555556,,28.0,17.0925,348
ap_river_discharge_2001_2025.csv,Kovvada Kalva near dommeru,kovvada kalva near dommeru,81.66444444,,28.0,17.01805556,339
ap_river_discharge_2001_2025.csv,Kovvadakalva   Pragadapalli,kovvadakalva pragadapalli,81.59666667,,28.0,17.21388889,223
ap_river_discharge_2001_2025.csv,Lazzabanda drain  Pedana,lazzabanda drain pedana,81.1425,,28.0,16.2725,3203
ap_river_discharge_2001_2025.csv,Muniyeru anicut  Polampalli,muniyeru anicut polampalli,80.19111111,,28.0,17.00111111,3677
ap_river_discharge_2001_2025.csv,NAGARI,nagari,79.59861111,,28.0,13.31694444,10072
ap_river_discharge_2001_2025.csv,NAGARI,nagari,,,28.0,,1
ap_river_discharge_2026_2030.csv,NARASINGARAYANIPETA,narasingarayanipeta,79.21111111,,28.0,13.18,58
ap_river_velocity_discharge_2021_2025.csv,NAGARI,nagari,79.59861111,,28.0,13.31694444,32
ap_river_velocity_discharge_2021_2025.csv,NARASINGARAYANIPETA,narasingarayanipeta,79.21111111,,28.0,13.18,783
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBB,sc ba ap pbb,No,RES_HGH,16.5095,80.62135,25881
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBB,sc ba ap pbb,No,RES_WLEV,16.5095,80.62135,1058
