dataset,source_name,source_code,latitude,longitude,candidate_asset_id,candidate_asset_code,candidate_asset_name,match_score,alias_score,river_score,distance_km,method,recovery_status
ap_river_discharge_2001_2025.csv,Chinamusi  Tumadu,79.96805556,28.0,15.36638889,86,AP_DAM_WRIS_AP01LH0091,Chintakuntavagu Dam,0.5161,0.5161,0.2143,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,Errakalva    Ananthapalli,81.45916667,28.0,16.98055556,72,AP_DAM_WRIS_AP01MH0076,Yerrakalva Dam,0.5625,0.5625,0.5625,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,ETB drain  Machavaram,80.53972222,28.0,16.00888889,37,AP_DAM_WRIS_D01879,Bhupathipalem Dam,0.6111,0.6111,0.3429,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,Inampudi drain  Yendakuduru,81.03277778,28.0,16.15305556,39,AP_DAM_WRIS_AP01MH0026,Chinnarayaswamy Gudi /Chennaraya Dam,0.4211,0.4211,0.0606,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,ITCHAPURAM,84.67861111,28.0,19.09833333,147,AP_DAM_WRIS_AP01MH0003,Siddapuram Tank,0.7,0.7,0.3529,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,KALVAPALLY,77.2825,28.0,14.64,166,AP_DAM_WRIS_AP01MH0094,Gullur Tank,0.6087,0.6087,0.381,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,KAMARAJUPETA,81.91527778,28.0,17.30722222,33,AP_DAM_WRIS_AP01MH0129,Cheyyeru / Annamayya Dam,0.6,0.6,0.2,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,KAMAVARAM,83.60722222,28.0,18.14444444,7,AP_DAM_NWDP_AP01MH0011,Upper Pennar,0.8,0.8,0.2667,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,KASIPATNAM,83.11707778,28.0,18.2177,65,AP_DAM_WRIS_AP01HH0043,Thandava(Sri Raja Sagi Suryanarayana Raju (Srssr) Dam,0.8571,0.8571,0.3333,,REVIEW,RECOVER_REVIEW
ap_river_discharge_2001_2025.csv,KATRAGADDA,83.81194444,28.0,18.99361111,71,AP_DAM_WRIS_AP01MH0030,Vottigadda Dam,0.6,0.6,0.4211,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,Kattaleru   Tiruvuru,80.61555556,28.0,17.0925,64,AP_DAM_WRIS_AP01MH0065,Thammileru Dam,0.6154,0.6154,0.3571,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,Kovvada Kalva near dommeru,81.66444444,28.0,17.01805556,56,AP_DAM_WRIS_D02041,Kovvadakalva Dam,0.6316,0.6316,0.6667,,REVIEW,STILL_UNMATCHED
ap_river_discharge_2001_2025.csv,Kovvadakalva   Pragadapalli,81.59666667,28.0,17.21388889,56,AP_DAM_WRIS_D02041,Kovvadakalva Dam,0.6486,0.6486,0.6316,,REVIEW,STILL_UNMATCHED
