asset_type,field,source_table,source_column,role
temple,temple_engineering_evidence_verified__is_health_label,temple_engineering_evidence_verified,is_health_label,LEAKAGE_EXCLUDED
temple,temple_engineering_evidence_verified__is_risk_label,temple_engineering_evidence_verified,is_risk_label,LEAKAGE_EXCLUDED
temple,temple_engineering_evidence_verified__is_rul_label,temple_engineering_evidence_verified,is_rul_label,LEAKAGE_EXCLUDED
temple,temple_engineering_evidence_verified__feature_version,temple_engineering_evidence_verified,feature_version,FEATURE
temple,temple_engineering_evidence_verified__created_at,temple_engineering_evidence_verified,created_at,FEATURE
temple,temple_identity_evidence_verified__asset_code,temple_identity_evidence_verified,asset_code,IDENTIFIER
temple,temple_identity_evidence_verified__asset_name,temple_identity_evidence_verified,asset_name,FEATURE
temple,temple_identity_evidence_verified__district,temple_identity_evidence_verified,district,FEATURE
temple,temple_identity_evidence_verified__canonical_name,temple_identity_evidence_verified,canonical_name,FEATURE
temple,temple_identity_evidence_verified__administrative_authority,temple_identity_evidence_verified,administrative_authority,FEATURE
temple,temple_identity_evidence_verified__primary_source_system,temple_identity_evidence_verified,primary_source_system,FEATURE
temple,temple_identity_evidence_verified__primary_source_url,temple_identity_evidence_verified,primary_source_url,FEATURE
temple,temple_identity_evidence_verified__official_temple_source_url,temple_identity_evidence_verified,official_temple_source_url,FEATURE
temple,temple_identity_evidence_verified__official_identity_status,temple_identity_evidence_verified,official_identity_status,FEATURE
temple,temple_identity_evidence_verified__asi_screening_status,temple_identity_evidence_verified,asi_screening_status,FEATURE
temple,temple_identity_evidence_verified__asi_screening_note,temple_identity_evidence_verified,asi_screening_note,FEATURE
temple,temple_identity_evidence_verified__asi_source,temple_identity_evidence_verified,asi_source,FEATURE
temple,temple_identity_evidence_verified__historical_description,temple_identity_evidence_verified,historical_description,FEATURE
temple,temple_identity_evidence_verified__exact_built_year_verified,temple_identity_evidence_verified,exact_built_year_verified,FEATURE
temple,temple_identity_evidence_verified__verification_method,temple_identity_evidence_verified,verification_method,FEATURE
temple,temple_identity_evidence_verified__authority_level,temple_identity_evidence_verified,authority_level,FEATURE
temple,temple_identity_evidence_verified__is_official_identity,temple_identity_evidence_verified,is_official_identity,FEATURE
temple,temple_identity_evidence_verified__is_structural_condition_evidence,temple_identity_evidence_verified,is_structural_condition_evidence,FEATURE
temple,temple_identity_evidence_verified__is_health_label,temple_identity_evidence_verified,is_health_label,LEAKAGE_EXCLUDED
temple,temple_identity_evidence_verified__is_risk_label,temple_identity_evidence_verified,is_risk_label,LEAKAGE_EXCLUDED
temple,temple_identity_evidence_verified__is_rul_label,temple_identity_evidence_verified,is_rul_label,LEAKAGE_EXCLUDED
temple,temple_identity_evidence_verified__evidence_confidence,temple_identity_evidence_verified,evidence_confidence,FEATURE
temple,temple_identity_evidence_verified__feature_version,temple_identity_evidence_verified,feature_version,FEATURE
temple,temple_identity_evidence_verified__verified_at,temple_identity_evidence_verified,verified_at,FEATURE
temple,temple_identity_evidence_verified__updated_at,temple_identity_evidence_verified,updated_at,FEATURE
