asset_type,field,source_table,source_column,role
bridge,bridge_report_readiness__evidence_status,bridge_report_readiness,evidence_status,FEATURE
bridge,bridge_report_readiness__report_version,bridge_report_readiness,report_version,FEATURE
bridge,bridge_report_readiness__updated_at,bridge_report_readiness,updated_at,FEATURE
bridge,bridge_osm_catalog__osm_way_id,bridge_osm_catalog,osm_way_id,FEATURE
bridge,bridge_osm_catalog__asset_code,bridge_osm_catalog,asset_code,IDENTIFIER
bridge,bridge_osm_catalog__anchor_asset_code,bridge_osm_catalog,anchor_asset_code,IDENTIFIER
bridge,bridge_osm_catalog__source_name,bridge_osm_catalog,source_name,FEATURE
bridge,bridge_osm_catalog__display_name,bridge_osm_catalog,display_name,FEATURE
bridge,bridge_osm_catalog__normalized_name,bridge_osm_catalog,normalized_name,FEATURE
bridge,bridge_osm_catalog__structure_key,bridge_osm_catalog,structure_key,FEATURE
bridge,bridge_osm_catalog__bridge_type,bridge_osm_catalog,bridge_type,FEATURE
bridge,bridge_osm_catalog__bridge_tag,bridge_osm_catalog,bridge_tag,FEATURE
bridge,bridge_osm_catalog__highway,bridge_osm_catalog,highway,FEATURE
bridge,bridge_osm_catalog__railway,bridge_osm_catalog,railway,FEATURE
bridge,bridge_osm_catalog__ref,bridge_osm_catalog,ref,FEATURE
bridge,bridge_osm_catalog__length_m_derived,bridge_osm_catalog,length_m_derived,FEATURE
bridge,bridge_osm_catalog__width_m_reported,bridge_osm_catalog,width_m_reported,FEATURE
bridge,bridge_osm_catalog__lanes_reported,bridge_osm_catalog,lanes_reported,FEATURE
bridge,bridge_osm_catalog__material_reported,bridge_osm_catalog,material_reported,FEATURE
bridge,bridge_osm_catalog__start_year_reported,bridge_osm_catalog,start_year_reported,FEATURE
bridge,bridge_osm_catalog__latitude,bridge_osm_catalog,latitude,FEATURE
bridge,bridge_osm_catalog__longitude,bridge_osm_catalog,longitude,FEATURE
bridge,bridge_osm_catalog__is_named,bridge_osm_catalog,is_named,FEATURE
bridge,bridge_osm_catalog__identity_status,bridge_osm_catalog,identity_status,FEATURE
bridge,bridge_osm_catalog__geometry_source,bridge_osm_catalog,geometry_source,GEOMETRY_EXCLUDED
bridge,bridge_osm_catalog__source_dataset,bridge_osm_catalog,source_dataset,FEATURE
bridge,bridge_osm_catalog__source_relation,bridge_osm_catalog,source_relation,FEATURE
bridge,bridge_osm_catalog__geometry_json,bridge_osm_catalog,geometry_json,GEOMETRY_EXCLUDED
bridge,bridge_osm_catalog__tags_json,bridge_osm_catalog,tags_json,FEATURE
bridge,bridge_osm_catalog__render_width_m,bridge_osm_catalog,render_width_m,FEATURE
bridge,bridge_osm_catalog__render_width_basis,bridge_osm_catalog,render_width_basis,FEATURE
bridge,bridge_osm_catalog__verified_pier_count,bridge_osm_catalog,verified_pier_count,FEATURE
bridge,bridge_osm_catalog__pier_count_status,bridge_osm_catalog,pier_count_status,FEATURE
bridge,bridge_osm_catalog__digital_twin_strategy,bridge_osm_catalog,digital_twin_strategy,FEATURE
bridge,bridge_osm_catalog__rendering_estimated,bridge_osm_catalog,rendering_estimated,FEATURE
bridge,bridge_osm_catalog__imported_at,bridge_osm_catalog,imported_at,FEATURE
dam,asset__id,assets,id,IDENTIFIER
dam,asset__asset_code,assets,asset_code,IDENTIFIER
dam,asset__name,assets,name,FEATURE
dam,asset__asset_type,assets,asset_type,FEATURE
dam,asset__subtype,assets,subtype,FEATURE
dam,asset__district,assets,district,FEATURE
dam,asset__owner,assets,owner,FEATURE
dam,asset__status,assets,status,FEATURE
dam,asset__identity_status,assets,identity_status,FEATURE
dam,asset__built_year,assets,built_year,FEATURE
dam,asset__design_life_years,assets,design_life_years,FEATURE
dam,asset__material,assets,material,FEATURE
dam,asset__condition,assets,condition,CONTEXT_ONLY_DO_NOT_USE_AS_TARGET
dam,asset__representative_geometry,assets,representative_geometry,GEOMETRY_EXCLUDED
dam,asset__source_id,assets,source_id,FEATURE
dam,asset__confidence_score,assets,confidence_score,FEATURE
dam,asset__is_estimated,assets,is_estimated,FEATURE
dam,asset__created_at,assets,created_at,FEATURE
