"asset_code","local_file","sha256","commons_title","commons_page_id","source_categories","original_url","description_url","mime","width","height","bytes","commons_sha1","commons_timestamp","license_short_name","license_url","artist","credit","attribution","source","date_time_original","categories","usage_status","geometry_status"
"AP_TEMPLE_KANAKA_DURGA","46851eb046-Kanaka Durga Temple.jpg","4febede7d87340689785edbd04126777ffbec337a648ba8d1b8d02ab97063273","File:Kanaka Durga Temple.jpg","16040402","Category:Sikhara of the Kanaka Durga Temple","https://upload.wikimedia.org/wikipedia/commons/e/e1/Kanaka_Durga_Temple.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://commons.wikimedia.org/wiki/File:Kanaka_Durga_Temple.jpg","image/jpeg","720","540","208324","46851eb0465c60556c04d74d0ce41258fd7deda0","2011-08-09T09:49:57Z","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","<a href=""//commons.wikimedia.org/wiki/User:Balajirakonda"" title=""User:Balajirakonda"">Balajirakonda</a>","<span class=""int-own-work"" lang=""en"">Own work</span>",,"<span class=""int-own-work"" lang=""en"">Own work</span>","2011-08-09","Self-published work|Sikhara of the Kanaka Durga Temple","CANDIDATE_RECONSTRUCTION_INPUT","UNVERIFIED_MULTI_VIEW"
"AP_TEMPLE_KANAKA_DURGA","3fee69e053-Kanakadurga Temple gopuram.jpg","34dc0219d381399759e1830e9a0c12523baae2a2291f25e798bd2ce0ba3cef82","File:Kanakadurga Temple gopuram.jpg","40703166","Category:Sikhara of the Kanaka Durga Temple","https://upload.wikimedia.org/wikipedia/commons/b/ba/Kanakadurga_Temple_gopuram.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://commons.wikimedia.org/wiki/File:Kanakadurga_Temple_gopuram.jpg","image/jpeg","2592","1944","1709507","3fee69e0531a208c116ce0153c5b715452588159","2015-06-11T18:10:42Z","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","<a href=""//commons.wikimedia.org/wiki/User:Strike_Eagle"" title=""User:Strike Eagle"">Srikar Kashyap</a>","<span class=""int-own-work"" lang=""en"">Own work</span>",,"<span class=""int-own-work"" lang=""en"">Own work</span>","2015-03-15 10:11:09","Self-published work|Sikhara of the Kanaka Durga Temple|Images by Srikar Kashyap","CANDIDATE_RECONSTRUCTION_INPUT","UNVERIFIED_MULTI_VIEW"
