icao_code,canonical_airport,event_title,evidence_category,maintenance_significance,record_date,estimated_cost_inr,procurement_id,source_authority,source_system,source_locator,verification_method,local_fetch_status,work_completion_confirmed,is_structural_condition_label,is_pavement_condition_label,is_maintenance_procurement_evidence
VOBZ,Vijayawada Airport,Resurfacing of damaged portion of Runway between chainage 2286m and 2610m at Vijayawada Airport,RUNWAY_REHABILITATION,HIGH,2025-09-22,3539537,2025_AAI_248371_1,Airports Authority of India,AAI / CPP Procurement,AAI Tender in Progress September 2025; Tender 2025_AAI_248371_1,WEB_VERIFIED_PRIMARY_GOVERNMENT_SOURCE,DNS_BLOCKED_ON_SIMRAS_HOST,False,False,False,True
VOBZ,Vijayawada Airport,"Annual Painting contract for Runway, Taxiways and Apron Markings at Vijayawada Airport during 2025-26",RUNWAY_MARKING_MAINTENANCE,MEDIUM,2025-08-23,5527963,2025_AAI_243502_1,Airports Authority of India,AAI / CPP Procurement,AAI Tender in Progress August 2025; Tender 2025_AAI_243502_1,WEB_VERIFIED_PRIMARY_GOVERNMENT_SOURCE,DNS_BLOCKED_ON_SIMRAS_HOST,False,False,False,True
VOCP,Kadapa Airport,A/R & M/O Civil works 2026-27 - Maintenance works for Operational Area at Kadapa Airport,OPERATIONAL_AREA_MAINTENANCE,MEDIUM,2026-03-05,7000000,2026_AAI_267028_1,Airports Authority of India,AAI / CPP Procurement,AAI March 2026 procurement; Tender 2026_AAI_267028_1,WEB_VERIFIED_PRIMARY_GOVERNMENT_SOURCE,DNS_BLOCKED_ON_SIMRAS_HOST,False,False,False,True
VOCP,Kadapa Airport,"Mechanized re-painting of Runway, Taxi Track, Isolation Bay and Apron Markings at Kadapa Airport",RUNWAY_MARKING_MAINTENANCE,MEDIUM,2025-06-04,3309215,2025_AAI_229279_1,Airports Authority of India,AAI / CPP Procurement,AAI Tender record; Tender 2025_AAI_229279_1,WEB_VERIFIED_PRIMARY_GOVERNMENT_SOURCE,DNS_BLOCKED_ON_SIMRAS_HOST,False,False,False,True
VOKU,Kurnool Airport,Runway End Safety Area at Kurnool Airport and Other Maintenance Works,RUNWAY_SAFETY_AREA_MAINTENANCE,HIGH,2025-04-29,,NIT No.3/APADCL/Kurnool Airport/2025-26,Andhra Pradesh Airports Development Corporation Limited,APADCL Tender Portal,APADCL Kurnool Airport tender register; NIT No.3/APADCL/Kurnool Airport/2025-26,WEB_VERIFIED_PRIMARY_GOVERNMENT_SOURCE,DNS_BLOCKED_ON_SIMRAS_HOST,False,False,False,True
VORY,Rajahmundry Airport,Rejuvenation of damaged runway surfaces by applying Polymer Modified Emulsion Rejuvenator - Phase III,RUNWAY_REHABILITATION,HIGH,2026-05-07,,2026_AAI_276499_1,Airports Authority of India,AAI / CPP Procurement,AAI Rajahmundry tender; 2026_AAI_276499_1,WEB_VERIFIED_PRIMARY_GOVERNMENT_SOURCE,DNS_BLOCKED_ON_SIMRAS_HOST,False,False,False,True
VORY,Rajahmundry Airport,Annual Rate Contract for Runway and Apron Marking including retro-reflective painting of Taxiways and Apron during 2026-27,RUNWAY_MARKING_MAINTENANCE,MEDIUM,2026-05-14,,2026_AAI_276905_1,Airports Authority of India,AAI / CPP Procurement,AAI Rajahmundry tender; 2026_AAI_276905_1,WEB_VERIFIED_PRIMARY_GOVERNMENT_SOURCE,DNS_BLOCKED_ON_SIMRAS_HOST,False,False,False,True
VOTP,Tirupati Airport,A/R & M/O Civil works 2026-27 - Annual Maintenance Contract for Operational Area at Tirupati Airport,OPERATIONAL_AREA_MAINTENANCE,MEDIUM,2026-02-06,12500000,2026_AAI_265739_1,Airports Authority of India,AAI / CPP Procurement,AAI February 2026 procurement; Tender 2026_AAI_265739_1,WEB_VERIFIED_PRIMARY_GOVERNMENT_SOURCE,DNS_BLOCKED_ON_SIMRAS_HOST,False,False,False,True
VOVZ,Visakhapatnam Airport,"Special repairs to Terminal Building, Cargo Building, Apron Joint Filling and other miscellaneous works at Visakhapatnam Airport",APRON_REPAIR,MEDIUM,2024-12-06,12216040,2024_AAI_216384_1,Airports Authority of India,AAI / CPP Procurement,AAI Visakhapatnam Engineering tender; 2024_AAI_216384_1,WEB_VERIFIED_PRIMARY_GOVERNMENT_SOURCE,DNS_BLOCKED_ON_SIMRAS_HOST,False,False,False,True
