osm_way_id,asset_code,anchor_asset_code,source_name,display_name,normalized_name,structure_key,bridge_type,bridge_tag,highway,railway,ref,length_m_derived,width_m_reported,lanes_reported,material_reported,start_year_reported,latitude,longitude,is_named,identity_status,geometry_source,source_dataset,source_relation,render_width_m,render_width_basis,verified_pier_count,pier_count_status,digital_twin_strategy,rendering_estimated
828701719,AP_BR_OSM_W828701719,,Ammavaripeta Village Road,Ammavaripeta Village Road,ammavaripeta village road,NAME::ammavaripeta village road::ROAD,ROAD,yes,tertiary,,,37.29,,,,,14.70586325,77.66079289999999,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828703738,AP_BR_OSM_W828703738,,,Unnamed Road Bridge - OSM 828703738,,OSM_WAY::828703738,ROAD,yes,track,,,13.95,,,,,14.78976105,77.46053739999999,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828706567,AP_BR_OSM_W828706567,,,Unnamed Road Bridge - OSM 828706567,,OSM_WAY::828706567,ROAD,yes,tertiary,,,21.92,,,,,14.698856150000001,77.6723751,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828743395,AP_BR_OSM_W828743395,,,Unnamed Road Bridge - OSM 828743395,,OSM_WAY::828743395,ROAD,yes,track,,,19.04,,,,,14.482973,77.67542270000001,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828753980,AP_BR_OSM_W828753980,,Ananthapur-Dharmavaram Road,Ananthapur-Dharmavaram Road,ananthapur dharmavaram road,NAME::ananthapur dharmavaram road::ROAD,ROAD,yes,secondary,,MDR0107,53.53,,,,,14.4771115,77.68546285,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828774811,AP_BR_OSM_W828774811,,,Unnamed Road Bridge - OSM 828774811,,OSM_WAY::828774811,ROAD,yes,tertiary,,,43.98,,,,,14.8492079,77.3265061,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828780743,AP_BR_OSM_W828780743,,,Unnamed Road Bridge - OSM 828780743,,OSM_WAY::828780743,ROAD,yes,residential,,,13.13,,,,,14.678480650000001,77.58063735,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828790112,AP_BR_OSM_W828790112,,,Unnamed Road Bridge - OSM 828790112,,OSM_WAY::828790112,ROAD,yes,residential,,,13.55,,,,,14.6723021,77.57549589999999,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828793468,AP_BR_OSM_W828793468,,,Unnamed Road Bridge - OSM 828793468,,OSM_WAY::828793468,ROAD,yes,tertiary,,,13.57,,,,,14.290739550000001,77.6091976,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828810906,AP_BR_OSM_W828810906,,,Unnamed Road Bridge - OSM 828810906,,OSM_WAY::828810906,ROAD,yes,tertiary,,,28.47,,,,,14.66723175,77.2666581,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828810912,AP_BR_OSM_W828810912,,,Unnamed Road Bridge - OSM 828810912,,OSM_WAY::828810912,ROAD,yes,track,,,499.5,,,,,14.667184966666667,77.27571763333333,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828811010,AP_BR_OSM_W828811010,,,Unnamed Road Bridge - OSM 828811010,,REF::mdr0137::ROAD,ROAD,yes,secondary,,MDR0137,53.35,,,,,14.39887705,77.50673130000001,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828812580,AP_BR_OSM_W828812580,,,Unnamed Road Bridge - OSM 828812580,,OSM_WAY::828812580,ROAD,yes,unclassified,,,7.32,,,,,14.66103275,77.5028399,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828814834,AP_BR_OSM_W828814834,,,Unnamed Road Bridge - OSM 828814834,,OSM_WAY::828814834,ROAD,yes,unclassified,,,8.26,,,,,14.662113966666666,77.5025285,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
828815540,AP_BR_OSM_W828815540,,,Unnamed Road Bridge - OSM 828815540,,OSM_WAY::828815540,ROAD,yes,track,,,12.01,,,,,14.8314847,77.27540285,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
