asset_id,asset_code,asset_name,risk_score,risk_level,model_variant,evidence_completeness_percent,highway,railway,osm_way_id,canonical_asset_id,anchor_asset_code,normalized_name,same_name_prediction_count,decision,decision_reason,why_predicted_json,recommendations_json
1702,AP_BR_OSM_W378604919,Road cum Railway Bridge,0.04,LOW,AGE,75.0,primary,,378604919,1702,,road cum railway bridge,1,APPROVED_FOR_PERSISTENCE,Passed transfer-domain and identity preflight.,"[{""feature"": ""bridge_age_years"", ""effect_on_probability"": -0.070218, ""direction"": ""DECREASED_RISK""}, {""feature"": ""route_class"", ""effect_on_probability"": -0.002305, ""direction"": ""DECREASED_RISK""}, {""feature"": ""structure_length_m"", ""effect_on_probability"": 0.0, ""direction"": ""LIMITED_EFFECT""}]","[""Maintain routine inspection schedule; this transfer-model result does not replace field inspection."", ""Collect missing factual inventory attributes to improve prediction evidence quality."", ""Verify construction/commissioning year provenance because bridge age materially influences this model family.""]"
15294,AP_BR_OSM_W1188395627,Piduguralla Bypass,0.0,LOW,AGE,75.0,trunk,,1188395627,15294,,piduguralla bypass,4,HOLD_POSSIBLE_MULTI_SEGMENT_STRUCTURE,Multiple predicted asset rows share the same normalized infrastructure name.,"[{""feature"": ""bridge_age_years"", ""effect_on_probability"": -0.035297, ""direction"": ""DECREASED_RISK""}, {""feature"": ""route_class"", ""effect_on_probability"": -0.002232, ""direction"": ""DECREASED_RISK""}, {""feature"": ""structure_length_m"", ""effect_on_probability"": 0.0, ""direction"": ""LIMITED_EFFECT""}]","[""Maintain routine inspection schedule; this transfer-model result does not replace field inspection."", ""Collect missing factual inventory attributes to improve prediction evidence quality."", ""Verify construction/commissioning year provenance because bridge age materially influences this model family.""]"
15295,AP_BR_OSM_W1188395629,Piduguralla Bypass,0.0,LOW,AGE,75.0,trunk,,1188395629,15295,,piduguralla bypass,4,HOLD_POSSIBLE_MULTI_SEGMENT_STRUCTURE,Multiple predicted asset rows share the same normalized infrastructure name.,"[{""feature"": ""bridge_age_years"", ""effect_on_probability"": -0.035297, ""direction"": ""DECREASED_RISK""}, {""feature"": ""route_class"", ""effect_on_probability"": -0.002232, ""direction"": ""DECREASED_RISK""}, {""feature"": ""structure_length_m"", ""effect_on_probability"": 0.0, ""direction"": ""LIMITED_EFFECT""}]","[""Maintain routine inspection schedule; this transfer-model result does not replace field inspection."", ""Collect missing factual inventory attributes to improve prediction evidence quality."", ""Verify construction/commissioning year provenance because bridge age materially influences this model family.""]"
17472,AP_BR_OSM_W1311466901,Piduguralla Bypass,0.03,LOW,AGE,75.0,trunk,,1311466901,17472,,piduguralla bypass,4,HOLD_POSSIBLE_MULTI_SEGMENT_STRUCTURE,Multiple predicted asset rows share the same normalized infrastructure name.,"[{""feature"": ""bridge_age_years"", ""effect_on_probability"": -0.032936, ""direction"": ""DECREASED_RISK""}, {""feature"": ""route_class"", ""effect_on_probability"": -0.001926, ""direction"": ""DECREASED_RISK""}, {""feature"": ""structure_length_m"", ""effect_on_probability"": 0.000306, ""direction"": ""LIMITED_EFFECT""}]","[""Maintain routine inspection schedule; this transfer-model result does not replace field inspection."", ""Collect missing factual inventory attributes to improve prediction evidence quality."", ""Verify construction/commissioning year provenance because bridge age materially influences this model family.""]"
17473,AP_BR_OSM_W1311466902,Piduguralla Bypass,0.03,LOW,AGE,75.0,trunk,,1311466902,17473,,piduguralla bypass,4,HOLD_POSSIBLE_MULTI_SEGMENT_STRUCTURE,Multiple predicted asset rows share the same normalized infrastructure name.,"[{""feature"": ""bridge_age_years"", ""effect_on_probability"": -0.032936, ""direction"": ""DECREASED_RISK""}, {""feature"": ""route_class"", ""effect_on_probability"": -0.001926, ""direction"": ""DECREASED_RISK""}, {""feature"": ""structure_length_m"", ""effect_on_probability"": 0.000306, ""direction"": ""LIMITED_EFFECT""}]","[""Maintain routine inspection schedule; this transfer-model result does not replace field inspection."", ""Collect missing factual inventory attributes to improve prediction evidence quality."", ""Verify construction/commissioning year provenance because bridge age materially influences this model family.""]"
18302,AP_BR_OSM_W1337333863,Unnamed Road Bridge - OSM 1337333863,0.0,LOW,FULL,100.0,trunk,,1337333863,18302,,unnamed road bridge,1,APPROVED_FOR_PERSISTENCE,Passed transfer-domain and identity preflight.,"[{""feature"": ""bridge_age_years"", ""effect_on_probability"": -0.014914, ""direction"": ""DECREASED_RISK""}, {""feature"": ""route_class"", ""effect_on_probability"": -0.000908, ""direction"": ""LIMITED_EFFECT""}, {""feature"": ""structure_length_m"", ""effect_on_probability"": 0.0, ""direction"": ""LIMITED_EFFECT""}, {""feature"": ""lanes_count"", ""effect_on_probability"": 0.0, ""direction"": ""LIMITED_EFFECT""}]","[""Maintain routine inspection schedule; this transfer-model result does not replace field inspection."", ""Verify construction/commissioning year provenance because bridge age materially influences this model family.""]"
