asset_code,name,canonical_asset_code,identity_status,identity_verified,available_features,required_features,feature_coverage,prediction_eligible,blocker_count,blockers,feature_status
AP_BR_OSM_G_1000336466,Unnamed OSM bridge group 1000336466,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1001772934,Unnamed OSM bridge group 1001772934,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1001772960,Unnamed OSM bridge group 1001772960,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1001772965,Unnamed OSM bridge group 1001772965,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1001785131,Unnamed OSM bridge group 1001785131,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1001785136,Unnamed OSM bridge group 1001785136,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1001785138,Unnamed OSM bridge group 1001785138,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1001785140,Unnamed OSM bridge group 1001785140,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1001785145,Unnamed OSM bridge group 1001785145,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1001903469,Unnamed OSM bridge group 1001903469,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1001903477,Unnamed OSM bridge group 1001903477,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1001985718,Unnamed OSM bridge group 1001985718,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1001997845,Howrah - Chennai Main Line,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1001997847,Howrah - Chennai Main Line,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1002016858,Unnamed OSM bridge group 1002016858,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1002016860,Unnamed OSM bridge group 1002016860,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1002074969,Unnamed OSM bridge group 1002074969,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1002074971,Unnamed OSM bridge group 1002074971,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1002074972,Koilakuntla - Jammalamadugu Road,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
AP_BR_OSM_G_1002074974,Unnamed OSM bridge group 1002074974,,NEEDS_VERIFICATION,False,1,13,0.0769,False,4,"IDENTITY_NOT_VERIFIED|MISSING_CORE_FEATURES:age_years,average_daily_traffic,condition_rating,design_type_code,inventory_rating|FEATURE_COVERAGE_BELOW_70_PERCENT|UNRESOLVED_MAPPINGS_OR_REVIEW:design_type_code","{""age_years"": ""MISSING"", ""average_daily_traffic"": ""MISSING"", ""condition_rating"": ""MISSING"", ""design_type_code"": ""MAPPABLE_UNMAPPED"", ""inventory_rating"": ""MISSING"", ""material_code"": ""MISSING"", ""max_span_m"": ""MISSING"", ""scour_rating"": ""MISSING"", ""skew_deg"": ""MISSING"", ""span_count"": ""MISSING"", ""structure_length_m"": ""DERIVED_OSM_GEOMETRY"", ""truck_traffic_percent"": ""MISSING"", ""waterway_rating"": ""MISSING""}"
