"priority","asset_code","name","asset_type","district","identity_status","reality_pack","imagery_status","model_status"
"4","AP_DAM_WRIS_AP01MH0075","Madduvalasa Dam","dam","Srikakulam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0075","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_NWDP_AP01MH0135","Mallemadugu","dam","Tirupati","VERIFIED","data\reality_twin\AP_DAM_NWDP_AP01MH0135","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0136","Marala Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0136","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0006","Markapur  Tank","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0006","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D06353","Matchukota Balancing Reservoir","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D06353","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0042","Mehadrigedda","dam","Visakhapatnam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0042","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D06026","Midpennar Stage-I/Mid-Pennar Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D06026","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0004","Mopadu Dam","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0004","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0036","Muraripalli / Mararipalli Dam","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0036","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01HH0137","Musurumilli /Musurmilli Dam","dam","East Godavari","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01HH0137","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0103","Muthyalacheruvu","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0103","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0058","Mylavaram Dam","dam","Y.S.R.","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0058","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0138","N.T.R. , Thatiparthi(V), Madugula (M) Dam","dam","Visakhapatnam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0138","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0083","N.T.R. T.G.P-Subsidiary
Reservoir  No 1","dam","YSR","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0083","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0152","N.T.R. T.G.P-Subsidiary
Reservoir  No 2","dam","YSR","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0152","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0028","Nagurur Dam","dam","Kurnool","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0028","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0010","Nakkalagandi Dam","dam","Sri Potti Sriramulu Nellore","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0010","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D02198","Narayanapuram Dam","dam","Srikakulam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D02198","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D00721","Nellore Dam","dam","Sri Potti Sriramulu Nellore","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D00721","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D06356","P.T.Cheruvu","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D06356","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D00963","Paleru ,Owk Dam","dam","Kurnool","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D00963","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0046","Pampa Dam","dam","East Godavari","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0046","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0104","Panthulu Cheruvu Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0104","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01HH0060","Papavinasanam Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01HH0060","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0105","Pattikondavanka, Guttava","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0105","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0106","Paya Cheruvu Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0106","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0070","Pedaballi Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0070","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0037","Pedda Cheruvu , Nagasamudram Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0037","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0108","Pedda Rayala Cheruvu Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0108","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0109","Pedda Tippa Samudram Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0109","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0107","Peddabadava, Tulasikrishan Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0107","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0044","Peddabommalapuram
Reservoir","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0044","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0140","Peddagedda Dam","dam","Vizianagaram","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0140","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D04538","Peddayetivanka, Annupal Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D04538","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_NWDP_AP01HH0049","Pedderu","dam","Annamayya","VERIFIED","data\reality_twin\AP_DAM_NWDP_AP01HH0049","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D06352","Pendekallu","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D06352","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0067","Pendlur Dam","dam","Y.S.R.","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0067","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0111","Peruru Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0111","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0016","Pincha Dam","dam","Y.S.R.","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0016","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0045","Pittakayagulla Dam","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0045","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01HH0159","Ps Velegonda Project Kakarla
Dam","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01HH0159","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D06327","Pulichintala","dam","Nalgonda","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D06327","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0053","Raiwada Dam","dam","Visakhapatnam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0053","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0113","Rallakalva, Kaliyambaka","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0113","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0013","Rallapadu Dam","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0013","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D06139","Ramathirtham Dam","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D06139","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0114","Rao Cheruvu,  Rajupalem","dam","YSR","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0114","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0115","Rayalacheruvu Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0115","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0048","Sadasivakona Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0048","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0050","Saddikutimadugu Reservoir","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0050","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0071","Sancherla Dam","dam","Y.S.R.","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0071","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0116","Sankarayalapeta Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0116","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0061","Savisettipalli Dam","dam","Y.S.R.","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0061","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0117","Seethai Cheru, Seethaipally Dam","dam","Prakasam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0117","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0017","Siddalagandi Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0017","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0003","Siddapuram Tank","dam","Kurnool","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0003","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D06393","Spvbs Dam","dam","Y.s.r.","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D06393","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0118","Sreerangarayani Cheruvu Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0118","NOT_STARTED","NOT_AUDITED"
