id,asset_id,asset_code,asset_name,asset_type,dataset,source_name,source_code,parameter,latitude,longitude,source_row_count,match_score,name_score,coordinate_score,distance_km,match_method,match_status,provenance,created_at
27,9,AP_DAM_NWDP_AP01HH0049,Pedderu,dam,ap_reservoir_level_2026_2030.csv,PEDDERU,78.37583333,,28.0,13.89027778,79,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
31,73,AP_DAM_WRIS_AP01MH0074,Yogivemana Dam,dam,ap_reservoir_level_2026_2030.csv,YOGIVEMANA RESERVOIR PROJECT,78.05111111,,28.0,14.35777778,151,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
32,34,AP_DAM_WRIS_AP01MH0021,Arniar Dam,dam,ap_reservoir_storage_1970_2025.csv,ARNIOR,79.7375,,28.0,13.395,6343,0.8333,0.8333,0.0,,FUZZY_NAME,MATCHED_REVIEW,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
33,35,AP_DAM_WRIS_AP01HH0127,Bahuda Dam,dam,ap_reservoir_storage_1970_2025.csv,BAHUDA,78.62777778,,28.0,13.56388889,6995,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
34,36,AP_DAM_WRIS_AP01MH0018,Bhairavanithippa Dam,dam,ap_reservoir_storage_1970_2025.csv,BHAIRAVANITIPPA PROJECT,76.88305556,,28.0,14.53305556,6872,0.9677,0.9677,0.0,,HIGH_CONFIDENCE_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
36,54,AP_DAM_WRIS_AP01MH0015,Kalangi Dam,dam,ap_reservoir_storage_1970_2025.csv,KALANGI,79.7925,,28.0,13.60805556,6588,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
37,8,AP_DAM_NWDP_AP01HH0040,Kalyani Dam,dam,ap_reservoir_storage_1970_2025.csv,KALYANI DAM,79.27,,28.0,13.64833333,6731,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
39,11,AP_DAM_NWDP_AP01MH0135,Mallemadugu,dam,ap_reservoir_storage_1970_2025.csv,MALLI MADUGU.,79.52166667,,28.0,13.67666667,6738,0.9565,0.9565,0.0,,HIGH_CONFIDENCE_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
41,9,AP_DAM_NWDP_AP01HH0049,Pedderu,dam,ap_reservoir_storage_1970_2025.csv,PEDDERU,78.37583333,,28.0,13.89027778,6774,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
45,7,AP_DAM_NWDP_AP01MH0011,Upper Pennar,dam,ap_reservoir_storage_1970_2025.csv,UPPER PENNAR PROJECT,77.355,,28.0,14.33694444,6807,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
46,73,AP_DAM_WRIS_AP01MH0074,Yogivemana Dam,dam,ap_reservoir_storage_1970_2025.csv,YOGIVEMANA RESERVOIR PROJECT,78.05111111,,28.0,14.35777778,2102,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
47,74,AP_DAM_WRIS_AP01MH0022,Zurreru Dam,dam,ap_reservoir_storage_1970_2025.csv,Zurreru Reservoir,78.12583333,,28.0,15.3275,2648,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
48,35,AP_DAM_WRIS_AP01HH0127,Bahuda Dam,dam,ap_reservoir_storage_2026_2030.csv,BAHUDA,78.62777778,,28.0,13.56388889,81,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
49,36,AP_DAM_WRIS_AP01MH0018,Bhairavanithippa Dam,dam,ap_reservoir_storage_2026_2030.csv,BHAIRAVANITIPPA PROJECT,76.88305556,,28.0,14.53305556,23,0.9677,0.9677,0.0,,HIGH_CONFIDENCE_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
50,8,AP_DAM_NWDP_AP01HH0040,Kalyani Dam,dam,ap_reservoir_storage_2026_2030.csv,KALYANI DAM,79.27,,28.0,13.64833333,45,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
51,11,AP_DAM_NWDP_AP01MH0135,Mallemadugu,dam,ap_reservoir_storage_2026_2030.csv,MALLI MADUGU.,79.52166667,,28.0,13.67666667,59,0.9565,0.9565,0.0,,HIGH_CONFIDENCE_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
52,9,AP_DAM_NWDP_AP01HH0049,Pedderu,dam,ap_reservoir_storage_2026_2030.csv,PEDDERU,78.37583333,,28.0,13.89027778,81,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
55,7,AP_DAM_NWDP_AP01MH0011,Upper Pennar,dam,ap_reservoir_storage_2026_2030.csv,UPPER PENNAR PROJECT,77.355,,28.0,14.33694444,31,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
56,73,AP_DAM_WRIS_AP01MH0074,Yogivemana Dam,dam,ap_reservoir_storage_2026_2030.csv,YOGIVEMANA RESERVOIR PROJECT,78.05111111,,28.0,14.35777778,151,1.0,1.0,0.0,,EXACT_OR_ALIAS_NAME,MATCHED_HIGH,AP_NWDP_GOVERNMENT_DATA,2026-09-03T04:42:23.619835+00:00
