asset_id,asset_code,asset_name,asset_type,document_id,source_id,evidence_id,completion_year,commencement_year,dam_height_m,dam_length_m,dam_volume_source_value,gate_count,gate_size_raw,gate_type,design_flood_source_value,spillway_capacity_source_value,spillway_level_m,spillway_length_m,spillway_type,river_name,dam_type,seismic_zone,registry_status,nrld_no,structure_code,nearest_city,operating_agency,age_years,engineering_fields_available,engineering_completeness,has_direct_hydrology,authority_level,origin,quality_flag,confidence_score,updated_at
125,AP_DAM_WRIS_D06074,Eguva Thamballa Palli - Cheruvu Dam,dam,1,103,108,,,,,,,,,,,,,,,,Seismic Zone-II,,,D06074,Badvel,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
126,AP_DAM_WRIS_AP01HH0023,Guntawada Main Dam,dam,1,103,109,,,,,,,,,7080.0,10933.0,,,,Sileru,,Seismic Zone-II,Completed,AP01HH0023,D06086,Chintapalle,APGENCO,,4,0.4,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
127,AP_DAM_WRIS_AP01LH0097,Jajigedda Dam,dam,1,103,110,,,,,,,,,,6230.0,,,,,,Seismic Zone-II,,AP01LH0097,D06091,Narsipatnam,Irrg.& CAD Dept.,,2,0.2,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
128,AP_DAM_WRIS_D06095,Kalinga Dal Dam,dam,1,103,111,,,,,,,,,,,,,,,,Seismic Zone-II,,,D06095,Sompeta,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
129,AP_DAM_WRIS_D06139,Ramathirtham Dam,dam,1,103,112,,,,,,,,,,,,,,,,Seismic Zone-II,Under Construction,,D06139,Ongole,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
130,AP_DAM_WRIS_AP01MH0150,Velugodu Dam,dam,1,103,113,,,,,,,,,,1232.0,,,,Pennar,,Seismic Zone-II,Under Construction,AP01MH0150,D06159,Atmakur,Irrg.& CAD Dept.,,3,0.3,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
131,AP_DAM_WRIS_D06026,Midpennar Stage-I/Mid-Pennar Dam,dam,1,103,114,1968,,43.0,1175.0,398.0,14,12.20 x 6.10,RD,5318.0,4543.0,360.27,182.88,,Pennar,TE,Seismic Zone-II,Completed,,D06026,Anantapur,,58.0,10,1.0,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
132,AP_DAM_WRIS_AP01LH0005,Thippayapalem Dam,dam,1,103,115,1938,,10.0,,,,,,,,,,,-,TE + PG,Seismic Zone-II,Completed,AP01LH0005,D06035,Markapur,Irrg.& CAD Dept.,88.0,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
133,AP_DAM_WRIS_AP01HH0133,Kandaleru /Kandaleru Dam,dam,1,103,116,1995,,49.0,10752.0,16720.0,3,,RD,312.0,,85.0,,OT,Kandleru,TE,Seismic Zone-III,Completed,AP01HH0133,D05565,Rapur,Irrg.& CAD Dept.,31.0,9,0.9,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
134,AP_DAM_WRIS_D06208,Yeddula Eswaraiah Gandikoata Dam,dam,1,103,117,,2005,38.0,325.0,,14,15.00 x 9.80,RD,8180.0,,202.2,,OG,Pennar,PG,Seismic Zone-II,Completed,,D06208,Jammalamadugu,,,8,0.8,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
135,AP_DAM_WRIS_D06327,Pulichintala,dam,1,103,119,,,,,,4,,,,57700.0,,,,Krishna,,Seismic Zone-III,Completed,,D06327,Huzurnagar,"WRD, Govt of AP",,4,0.4,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
136,AP_DAM_WRIS_D06350,Gooty Tank,dam,1,103,120,,,,,,,,,,,,,,,TE,Seismic Zone-II,Proposed,,D06350,,,,2,0.2,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
137,AP_DAM_WRIS_D06351,Kanelal Tank,dam,1,103,121,,,,,,,,,,,,,,,TE,Seismic Zone-II,Proposed,,D06351,,,,2,0.2,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
138,AP_DAM_WRIS_D06352,Pendekallu,dam,1,103,122,,,,,,,,,,,,,,,,Seismic Zone-II,Proposed,,D06352,,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
139,AP_DAM_WRIS_D06353,Matchukota Balancing Reservoir,dam,1,103,123,,,,,,,,,,,,,,,TE,Seismic Zone-II,Proposed,,D06353,,,,2,0.2,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
140,AP_DAM_WRIS_D06354,Sri Subbaraya Sagar,dam,1,103,124,,,,,,,,,,,,,,,,Seismic Zone-II,Proposed,,D06354,,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
141,AP_DAM_WRIS_D06356,P.T.Cheruvu,dam,1,103,125,,,,,,,,,,,,,,,TE,Seismic Zone-II,Completed,,D06356,,,,2,0.2,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
142,AP_DAM_WRIS_D06393,Spvbs Dam,dam,1,103,126,,,,,,,,,,,,,,Pennar,,Seismic Zone-II,Completed,,D06393,,,,2,0.2,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
143,AP_DAM_WRIS_D06394,Turimella Reservoir Dam,dam,1,103,127,,,,,,,,,,,,,,,,Seismic Zone-II,Proposed,,D06394,,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
144,AP_DAM_WRIS_D06395,Kakarla Dam,dam,1,103,128,,,,,,,,,,,,,,Peddavagu,,Seismic Zone-II,Under Construction,,D06395,,,,2,0.2,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
145,AP_DAM_WRIS_D02215,Sri Tenneti Viswanatham Pedderu Dam,dam,1,103,129,2006,,31.0,900.0,,4,12M x 8M,,,,,,,Pedderu,,Seismic Zone-II,Completed,,D02215,Kurnool,,20.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
146,AP_DAM_WRIS_AP01LH0002,Dondapadu Tank,dam,1,103,130,1910,,10.3,720.0,,,,,,210.0,,,,krishna,TE,Seismic Zone-II,,AP01LH0002,D06644,Vinukonda,Andhra Pradesh Water Resources Department,116.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
147,AP_DAM_WRIS_AP01MH0003,Siddapuram Tank,dam,1,103,131,1919,,19.0,4904.0,,,,,,492.0,,,,Bhavana,TE,Seismic Zone-II,,AP01MH0003,D07171,Kurnool,Andhra Pradesh Water Resources Department,107.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
148,AP_DAM_WRIS_AP01LH0006,Markapur  Tank,dam,1,103,132,1945,,10.0,1569.0,,,,,,75.0,,,,Mondivagu,TE,Seismic Zone-II,,AP01LH0006,D06937,Ongole,Andhra Pradesh Water Resources Department,81.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
149,AP_DAM_WRIS_AP01MH0027,Subba Reddy Sagar,dam,1,103,133,1970,,17.5,442.0,,,,,,542.0,,,,Kuntidevi  Vagu,TE,Seismic Zone-II,,AP01MH0027,D07197,Gokavaram,Andhra Pradesh Water Resources Department,56.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
150,AP_DAM_WRIS_AP01LH0033,Gujjuvai  Reservoir,dam,1,103,134,1974,,15.0,800.0,,,,,,90.9,,,,Peddagedda,TE,Seismic Zone-II,,AP01LH0033,D06701,Vizayanagaram,Andhra Pradesh Water Resources Department,52.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
151,AP_DAM_WRIS_AP01LH0041,Kaleti Vagu Reservoir,dam,1,103,135,1977,,11.2,1850.0,,,,,,683.0,,,,Local Stream,TE,Seismic Zone-II,,AP01LH0041,D06780,Vempalli,Andhra Pradesh Water Resources Department,49.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
152,AP_DAM_WRIS_AP01MH0042,Mehadrigedda,dam,1,103,136,1977,,13.716,1609.0,,,,,,1502.0,,,,Mehadrigedda,TE,Seismic Zone-II,,AP01MH0042,D06942,Visakhapatnam,Andhra Pradesh Water Resources Department,49.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
153,AP_DAM_WRIS_AP01MH0044,"Peddabommalapuram
Reservoir",dam,1,103,137,1978,,17.3,640.0,,,,,,,,,,Local Nala,TE,Seismic Zone-II,,AP01MH0044,D07049,Dornal,Andhra Pradesh Water Resources Department,48.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
154,AP_DAM_WRIS_AP01LH0050,Saddikutimadugu Reservoir,dam,1,103,138,1980,,10.94,800.0,,,,,,,,,,Manneru,TE,Seismic Zone-II,,AP01LH0050,D07112,Thirupathi,Andhra Pradesh Water Resources Department,46.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
155,AP_DAM_WRIS_AP01LH0054,Itugulapadu Tank,dam,1,103,139,1982,,10.5,520.0,,,,,,668.27,,,,Maderu,TE,Seismic Zone-II,,AP01LH0054,D06735,Badvel,Andhra Pradesh Water Resources Department,44.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
156,AP_DAM_WRIS_AP01HH0060,Papavinasanam Dam,dam,1,103,140,1985,,50.0,274.0,195.0,,,,,201.0,,,,Papavinasanam,TE + PG,Seismic Zone-II,,AP01HH0060,D07029,Tirupati,Andhra Pradesh Water Resources Department,41.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
157,AP_DAM_WRIS_AP01LH0068,Vagetikona Reservoir,dam,1,103,141,1998,,11.3,1306.0,,,,,,285.02,,,,Local Stream,TE,Seismic Zone-II,,AP01LH0068,D07265,Kodur,Andhra Pradesh Power Generation Corporation,28.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
158,AP_DAM_WRIS_AP01LH0077,Dharakalava Reservoir,dam,1,103,142,2004,,20.12,250.0,9000.0,,,,,227.67,,,,Hill Stream,TE,Seismic Zone-II,,AP01LH0077,D06628,Kakinada,Andhra Pradesh Water Resources Department,22.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
159,AP_DAM_WRIS_AP01MH0080,Earlakatta  Tank,dam,1,103,143,2007,,17.0,571.0,,,,,,,,,,krishna,TE,Seismic Zone-II,,AP01MH0080,D06654,Cumbum.,Andhra Pradesh Water Resources Department,19.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
160,AP_DAM_WRIS_AP01MH0083,"N.T.R. T.G.P-Subsidiary
Reservoir  No 1",dam,1,103,144,,,28.0,1820.0,,,,,,,,,,Kunderu,TE,Seismic Zone-II,,AP01MH0083,D06962,Cuddapah,Andhra Pradesh Water Resources Department,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
161,AP_DAM_WRIS_AP01LH0086,Chennapatnam Cheruvu,dam,1,103,145,,,10.0,950.0,,,,,,,,,,Pennar,TE,Seismic Zone-II,,AP01LH0086,D06568,Somala,Andhra Pradesh Water Resources Department,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
162,AP_DAM_WRIS_AP01LH0087,"Chikkavadiyar, Anantapur",dam,1,103,146,,,10.54,4476.0,,,,,,501.0,,,,ghatprabha,TE + PG,Seismic Zone-II,,AP01LH0087,D06576,Bukkarayasamudram,Andhra Pradesh Water Resources Department,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
163,AP_DAM_WRIS_AP01MH0089,Chinnagottigallu Tank,dam,1,103,147,,,18.0,900.0,,,,,,168.51,,,,Swarnamuki R,TE,Seismic Zone-II,,AP01MH0089,D06583,Tirupati,Andhra Pradesh Water Resources Department,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
164,AP_DAM_WRIS_AP01LH0090,"Chinna Tippa Samudram
Tank",dam,1,103,148,,,12.2,790.0,,,,,,354.0,,,,Thettuvanka,TE,Seismic Zone-II,,AP01LH0090,D06582,Chittor,Andhra Pradesh Water Resources Department,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
165,AP_DAM_WRIS_AP01LH0093,"Gowricheru, Mogili",dam,1,103,149,,,10.0,650.0,47.99,,,,,136.0,,,,Ghataprabha,TE,Seismic Zone-II,,AP01LH0093,D06699,Chittoor,Andhra Pradesh Water Resources Department,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
166,AP_DAM_WRIS_AP01MH0094,Gullur Tank,dam,1,103,150,,,15.0,1040.0,,,,,,,,,,Ghataprabha,TE,Seismic Zone-II,,AP01MH0094,D06702,Makavarapalem,Andhra Pradesh Water Resources Department,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
167,AP_DAM_WRIS_AP01MH0095,Gundlamotu Reservoir,dam,1,103,151,,,16.0,605.0,,,,,,652.0,,,,Ghataprabha,TE,Seismic Zone-II,,AP01MH0095,D06704,Giddalur,Andhra Pradesh Water Resources Department,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
168,AP_DAM_WRIS_AP01LH0099,Koduru Reservoir,dam,1,103,152,,,10.0,796.0,,,,,,21.24,,,,Khushavathi,TE,Seismic Zone-II,,AP01LH0099,D06839,Guntakal,Andhra Pradesh Water Resources Department,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
169,AP_DAM_WRIS_AP01LH0103,Muthyalacheruvu,dam,1,103,153,,,11.0,838.0,,,,,,297.44,,,,ghatprabha,TE,Seismic Zone-II,,AP01LH0103,D06961,Dharmavaram,Andhra Pradesh Water Resources Department,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
170,AP_DAM_WRIS_AP01LH0105,"Pattikondavanka, Guttava",dam,1,103,154,,,12.48,580.0,,,,,,59.0,,,,Ghataprabha,TE,Seismic Zone-II,,AP01LH0105,D07038,Chittoor,Andhra Pradesh Water Resources Department,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
171,AP_DAM_WRIS_AP01LH0113,"Rallakalva, Kaliyambaka",dam,1,103,155,,,10.0,1515.0,81.1,,,,,73.0,,,,Rallakalva,TE,Seismic Zone-II,,AP01LH0113,D07089,Chittoor,Andhra Pradesh Water Resources Department,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
172,AP_DAM_WRIS_AP01MH0114,"Rao Cheruvu,  Rajupalem",dam,1,103,156,,,16.0,460.0,,,,,,113.83,,,,Sagileru,TE,Seismic Zone-II,,AP01MH0114,D07100,Badvel,Andhra Pradesh Water Resources Department,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,dam,1,103,157,,,11.58,375.0,,,,,,56.35,,,,pennar,TE,Seismic Zone-II,,AP01LH0119,D07220,S.R.Pur,Andhra Pradesh Water Resources Department,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
174,AP_DAM_WRIS_AP01LH0122,"Ura Tank, S.R. Puram",dam,1,103,158,,,13.86,869.0,,,,,,283.0,,,,pennar,TE,Seismic Zone-II,,AP01LH0122,D07262,S.R.Pur,Andhra Pradesh Water Resources Department,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
175,AP_DAM_WRIS_AP01LH0123,Virupana  Tank,dam,1,103,159,,,12.0,589.0,,,,,,6.68,,,,ghatprabha,TE,Seismic Zone-II,,AP01LH0123,D07280,Sambalpur,Andhra Pradesh Water Resources Department,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
176,AP_DAM_WRIS_AP01MH0152,"N.T.R. T.G.P-Subsidiary
Reservoir  No 2",dam,1,103,160,,,18.0,,,,,,,,,,,Vakkileru  N,TE,Seismic Zone-II,,AP01MH0152,D06963,Cuddapah,Andhra Pradesh Water Resources Department,,4,0.4,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
177,AP_DAM_WRIS_AP01HH0159,"Ps Velegonda Project Kakarla
Dam",dam,1,103,161,2014,,60.0,470.0,210.0,,,,,52.29,,,,krishna,TE,Seismic Zone-II,,AP01HH0159,D07079,Marakapur,Andhra Pradesh Water Resources Department,12.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
178,AP_DAM_WRIS_AP01MH0166,"Surempalem Reservoir
Project",dam,1,103,162,2006,,27.6,800.0,0.3136,,,,,52.29,,,,Burada kalva,TE,Seismic Zone-II,,AP01MH0166,D07212,Gokavaram,Andhra Pradesh Water Resources Department,20.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
179,AP_DAM_WRIS_AP01MH0167,Gogarbham Dam,dam,1,103,163,1963,,24.3,54.0,,,,,,,,,,Local,TE,Seismic Zone-II,,AP01MH0167,D06688,Tirupati,Andhra Pradesh Water Resources Department,63.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
180,AP_DAM_WRIS_AP01MH0168,Akasaganga,dam,1,103,164,2002,,28.0,170.0,0.035,,,,,52.29,,,,Local,TE,Seismic Zone-II,,AP01MH0168,D06420,Tirupati,Andhra Pradesh Water Resources Department,24.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
181,AP_DAM_WRIS_AP01HH0169,"Kumaradhara Pushpadhara
Dam",dam,1,103,165,2011,,63.74,906.3,0.25,,,,,12500.0,,,,Odher,TE,Seismic Zone-II,,AP01HH0169,D06861,Tirupati,Andhra Pradesh Water Resources Department,15.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
