asset_id,asset_code,asset_name,asset_type,document_id,source_id,evidence_id,completion_year,commencement_year,dam_height_m,dam_length_m,dam_volume_source_value,gate_count,gate_size_raw,gate_type,design_flood_source_value,spillway_capacity_source_value,spillway_level_m,spillway_length_m,spillway_type,river_name,dam_type,seismic_zone,registry_status,nrld_no,structure_code,nearest_city,operating_agency,age_years,engineering_fields_available,engineering_completeness,has_direct_hydrology,authority_level,origin,quality_flag,confidence_score,updated_at
73,AP_DAM_WRIS_AP01MH0074,Yogivemana Dam,dam,1,103,55,2001,1991,29.46,570.0,,11,12x6,RD,100.38321185,3545.0,377.0,,OG,Maddeleru River,TE + PG,Seismic Zone-II,Completed,AP01MH0074,D02659,Kadiri,Irrg.& CAD Dept.,25.0,10,1.0,True,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
74,AP_DAM_WRIS_AP01MH0022,Zurreru Dam,dam,1,103,56,1963,,16.0,677.0,199.0,2,12.192 x 24.384,OT,589.83985975,649.0,,,,Zurreru,TE,Seismic Zone-II,Completed,AP01MH0022,D02661,Banganapalle,Irrg.& CAD Dept.,63.0,9,0.9,True,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
75,AP_DAM_WRIS_D02672,Ghambiramgedda Dam,dam,1,103,57,1957,,13.0,369.0,173.0,,,,549.34677289,550.0,37.49051307,,,Gambhiramgedda,TE,Seismic Zone-II,Completed,,D02672,Bhimunipatnam,,69.0,9,0.9,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
76,AP_DAM_WRIS_AP01MH0010,Nakkalagandi Dam,dam,1,103,58,1958,,15.0,354.0,875.0,,,,934.56,340.0,113.39,,,Uppuvagu,TE,Seismic Zone-II,Completed,AP01MH0010,D03220,Udayagiri,Irrg.& CAD Dept.,68.0,9,0.9,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
77,AP_DAM_WRIS_D03507,Gundlamotu Dam,dam,1,103,59,,,16.0,605.0,,,,OT,,652.0,,,,,TE,Seismic Zone-II,,,D03507,Giddalur,,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
78,AP_DAM_WRIS_AP01LH0096,Haresamudram Big Dam,dam,1,103,60,,,10.0,1264.0,,,,LG,,206.0,,,,,TE,Seismic Zone-II,,AP01LH0096,D03517,Madakasira,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
79,AP_DAM_WRIS_AP01_0131,Hiramandalam Dam,dam,1,103,61,,,,200.0,,,,,,667.0,,,,Vamsadhara,TE + PG,Seismic Zone-II,Under Construction,AP01**0131,D03520,Pathapatnam,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
80,AP_DAM_WRIS_AP01LH0051,Jalakanur Dam,dam,1,103,62,1981,,10.51,7200.0,,,,,,362.0,,,,Bodivagu,TE,Seismic Zone-II,Completed,AP01LH0051,D03566,Nandikotkur,Irrg.& CAD Dept.,45.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
81,AP_DAM_WRIS_AP01LH0084,Akkapalem Dam,dam,1,103,63,,,11.1,433.0,,,,,,,,,,,TE,Seismic Zone-III,,AP01LH0084,D03322,Tiruvuru,Irrg.& CAD Dept.,,4,0.4,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
82,AP_DAM_WRIS_AP01LH0085,Ananthasagarm Dam,dam,1,103,64,,,14.0,3500.0,,,,,,339.0,,,,Pennar,TE,Seismic Zone-II,,AP01LH0085,D03338,Atmakur,Irrg.& CAD Dept.,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
