asset_id,osm_way_id,structure_key,bridge_type,actual_length_m,reported_width_m,render_width_m,width_basis,latitude,longitude,actual_geometry,geometry_source,lanes_reported,material_reported,verified_pier_count,pier_count_status,rendering_strategy,rendering_estimated,profile_version,updated_at
4739,680513048,NAME::narketpally addanki medarametla road::ROAD,ROAD,92.35,,7.0,VISUALIZATION_ESTIMATE,16.339096625,79.949187725,"{""type"": ""LineString"", ""coordinates"": [[79.9492584, 16.3394728], [79.9492312, 16.3392873], [79.9491727, 16.338967], [79.9490886, 16.3386594]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4740,680513235,OSM_WAY::680513235,ROAD,78.15,,7.0,VISUALIZATION_ESTIMATE,16.44996,79.78248415,"{""type"": ""LineString"", ""coordinates"": [[79.7823527, 16.449632], [79.7826156, 16.450288]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4741,680513569,OSM_WAY::680513569,ROAD,26.56,,7.0,VISUALIZATION_ESTIMATE,16.0010252,80.5762561,"{""type"": ""LineString"", ""coordinates"": [[80.5763262, 16.0009266], [80.576186, 16.0011238]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4742,680513571,OSM_WAY::680513571,ROAD,13.4,,7.0,VISUALIZATION_ESTIMATE,15.99321535,80.58488245000001,"{""type"": ""LineString"", ""coordinates"": [[80.584918, 15.9931657], [80.5848469, 15.993265]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4743,680514295,OSM_WAY::680514295,ROAD,26.2,,7.0,VISUALIZATION_ESTIMATE,16.5597577,81.68524995,"{""type"": ""LineString"", ""coordinates"": [[81.6851319, 16.5597905], [81.685368, 16.5597249]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4744,680514298,OSM_WAY::680514298,ROAD,20.66,,7.0,VISUALIZATION_ESTIMATE,16.55915735,81.68768940000001,"{""type"": ""LineString"", ""coordinates"": [[81.6875942, 16.5591747], [81.6877846, 16.55914]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4745,680514641,REF::mdr0159::ROAD,ROAD,72.91,,7.0,VISUALIZATION_ESTIMATE,15.91142915,80.78563095,"{""type"": ""LineString"", ""coordinates"": [[80.785291, 15.9114537], [80.7859709, 15.9114046]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4746,680515139,OSM_WAY::680515139,ROAD,94.06,,7.0,VISUALIZATION_ESTIMATE,16.076467049999998,80.29450985,"{""type"": ""LineString"", ""coordinates"": [[80.2944809, 16.076045], [80.2945388, 16.0768891]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4747,680515624,OSM_WAY::680515624,ROAD,39.4,,7.0,VISUALIZATION_ESTIMATE,16.568861849999998,81.68921424999999,"{""type"": ""LineString"", ""coordinates"": [[81.6890305, 16.5688811], [81.689398, 16.5688426]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4748,680515976,OSM_WAY::680515976,ROAD,111.42,,7.0,VISUALIZATION_ESTIMATE,16.477514233333334,79.51613993333333,"{""type"": ""LineString"", ""coordinates"": [[79.5164868, 16.4776874], [79.5163715, 16.4776334], [79.5155615, 16.4772219]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4749,680515986,OSM_WAY::680515986,ROAD,14.06,,7.0,VISUALIZATION_ESTIMATE,16.23160415,80.48643584999999,"{""type"": ""LineString"", ""coordinates"": [[80.4863736, 16.2316248], [80.4864981, 16.2315835]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4750,680516071,OSM_WAY::680516071,ROAD,14.46,,7.0,VISUALIZATION_ESTIMATE,16.09893365,80.68825344999999,"{""type"": ""LineString"", ""coordinates"": [[80.6882273, 16.0988737], [80.6882796, 16.0989936]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4751,680516550,OSM_WAY::680516550,ROAD,51.76,,7.0,VISUALIZATION_ESTIMATE,17.0751359,80.71845975,"{""type"": ""LineString"", ""coordinates"": [[80.7182425, 17.075241], [80.718677, 17.0750308]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4752,680525679,OSM_WAY::680525679,ROAD,103.78,,7.0,VISUALIZATION_ESTIMATE,13.7979368,78.1578782,"{""type"": ""LineString"", ""coordinates"": [[78.1574437, 13.7977375], [78.1583127, 13.7981361]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4753,680525681,NAME::gopal naik thanda road::ROAD,ROAD,102.23,,7.0,VISUALIZATION_ESTIMATE,13.87576,78.1003945,"{""type"": ""LineString"", ""coordinates"": [[78.0999412, 13.8758928], [78.1008478, 13.8756272]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4754,680525684,NAME::bodigundlapalle road::ROAD,ROAD,68.89,,7.0,VISUALIZATION_ESTIMATE,13.8672736,78.1031921,"{""type"": ""LineString"", ""coordinates"": [[78.1029078, 13.867133], [78.1034764, 13.8674142]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4755,680525686,NAME::mahammadabadu balasamudram road::ROAD,ROAD,35.08,,7.0,VISUALIZATION_ESTIMATE,13.8846319,78.0990182,"{""type"": ""LineString"", ""coordinates"": [[78.0991573, 13.8845504], [78.0988791, 13.8847134]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4756,680571888,OSM_WAY::680571888,ROAD,26.37,,7.0,VISUALIZATION_ESTIMATE,16.4289998,80.48814556666667,"{""type"": ""LineString"", ""coordinates"": [[80.4879856, 16.4289898], [80.4882188, 16.4290044], [80.4882323, 16.4290052]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4757,680571962,REF::mdr081::ROAD,ROAD,31.43,,7.0,VISUALIZATION_ESTIMATE,15.8561689,80.28992059999999,"{""type"": ""LineString"", ""coordinates"": [[80.2900574, 15.8561173], [80.2897838, 15.8562205]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4758,680574034,REF::mdr088::ROAD,ROAD,64.2,,7.0,VISUALIZATION_ESTIMATE,15.881418,79.5457591,"{""type"": ""LineString"", ""coordinates"": [[79.5459589, 15.8816334], [79.5455593, 15.8812026]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4759,680574035,REF::mdr088::ROAD,ROAD,24.25,,7.0,VISUALIZATION_ESTIMATE,15.87944315,79.5438306,"{""type"": ""LineString"", ""coordinates"": [[79.5439178, 15.8795128], [79.5437434, 15.8793735]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4760,680574670,REF::mdr0202::ROAD,ROAD,14.48,,7.0,VISUALIZATION_ESTIMATE,16.3166067,80.73187675,"{""type"": ""LineString"", ""coordinates"": [[80.7319446, 16.3166064], [80.7318089, 16.316607]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4761,680575834,OSM_WAY::680575834,ROAD,64.85,,7.0,VISUALIZATION_ESTIMATE,16.5260749,80.69636145,"{""type"": ""LineString"", ""coordinates"": [[80.6963578, 16.5257833], [80.6963651, 16.5263665]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
