asset_id,asset_code,asset_name,district,structure_mode,length_m,width_m,pier_count,abutment_count,span_count,max_reported_span_m,lane_or_track_count,material_summary,completion_year_evidence,full_operation_year,current_maintenance_procurement,government_evidence_rows,technical_reference_rows,current_structural_condition_labels,health_ml_readiness,risk_ml_readiness,rul_readiness,feature_version,updated_at
2,AP_BR_00001,Godavari Arch Bridge,East Godavari,RAIL,2745.0,,28,,28,97.552,1,PRESTRESSED_RCC_TWIN_ARCHES_M45,1997,2003,False,3,10,0,NO_REAL_STRUCTURAL_INSPECTION,NO_AP_STRUCTURAL_FAILURE_LABEL,PLANNING_BASIS_AVAILABLE_NOT_VALIDATED,ap_bridge_engineering_v1,2026-09-03T13:39:39.938501+00:00
4,AP_BR_00002,Kanaka Durga Flyover,NTR,ROAD,2600.0,23.7744,45,2,,45.0,6,LRPC_STRANDS_AND_TMT_REINFORCEMENT,2020,2020,True,2,9,0,NO_REAL_STRUCTURAL_INSPECTION,NO_AP_STRUCTURAL_FAILURE_LABEL,WITHHOLD_RUL,ap_bridge_engineering_v1,2026-09-03T13:39:39.938501+00:00
